pair,n_persons_clean,n_left,leaver_rate_unwt,leaver_rate_wt,n_hh_scheduled,n_hh_reint,n_hh_typeA,n_hh_gone_or_vacant
jan->feb,67279,794,0.011801602283030366,0.012942866073481888,31273,28601,2089,583
feb->mar,66628,728,0.01092633727561986,0.011707764338470178,31722,28388,2941,393
mar->apr,66403,654,0.00984895260756291,0.01095434696596717,30237,28086,1845,306
apr->may,68744,722,0.010502734784126614,0.011028764837460852,31448,28992,2049,407
may->jun,68371,772,0.011291336970352927,0.011502840378458825,31513,28964,2141,408
jun->jul,67731,787,0.011619494766059854,0.012718074730322113,31300,28822,2074,404
jul->aug,68493,758,0.011066824347013563,0.011742819720530949,31566,29026,2044,496
aug->sep,68801,761,0.011060885742939782,0.011957647726987753,31789,29148,2246,395
sep->oct,68261,739,0.010826093962877778,0.011920031556104622,31479,28962,2214,303
oct->nov,68374,640,0.009360283148565244,0.010447888391206547,31375,28975,2098,302
nov->dec,68712,740,0.01076958900919781,0.01141518031916781,31269,28978,1995,296
