pair,n_persons_clean,n_left,leaver_rate_unwt,leaver_rate_wt,n_hh_scheduled,n_hh_reint,n_hh_typeA,n_hh_gone_or_vacant
jan->feb,1243,15,0.012067578439259855,0.0125787735174855,586,538,39,9
feb->mar,1255,17,0.013545816733067729,0.0150498127768967,597,531,57,9
mar->apr,1284,10,0.00778816199376947,0.008380553408870504,578,545,26,7
apr->may,1253,11,0.008778930566640064,0.00963512926104592,573,525,39,9
may->jun,1221,14,0.011466011466011465,0.00968758320556485,565,516,40,9
jun->jul,1312,20,0.01524390243902439,0.01598656166600141,590,547,33,10
jul->aug,1430,11,0.007692307692307693,0.008838565888535172,629,585,34,10
aug->sep,1368,18,0.013157894736842105,0.014314585513727421,607,561,36,10
sep->oct,1309,15,0.01145912910618793,0.012270277159055227,609,554,46,9
oct->nov,1352,12,0.008875739644970414,0.009339055935032306,615,568,39,8
nov->dec,1310,12,0.00916030534351145,0.00937853516854392,582,546,28,8
