pair,state,n,n_adults,e_adj,e_adj_dur,raw_u_f,raw_u_f_adults,fb_stock
2019->2020,AL,58,51,0.0470650383234394,0.043446082849391665,0.28749365351665657,0.3288388404708685,191087.59999999998
2019->2020,AK,53,51,0.054358791280918514,0.04597575296806274,0.4050512400205074,0.41683044197540026,53519.16
2019->2020,AZ,161,152,0.04885107050938841,0.04778834972923173,0.37726119454118257,0.3712119665416494,1163508.77
2019->2020,AR,40,38,0.055582997543095085,0.05208165464420104,0.6478201861053593,0.6487931143661994,132102.41999999998
2019->2020,CA,1391,1361,0.05555207923680266,0.05403829578764081,0.31173124285292125,0.3076163811652187,10456465.98
2019->2020,CO,59,57,0.06496555796621814,0.06104371957941142,0.2916581303186215,0.29747092036102535,614903.26
2019->2020,CT,94,90,0.04550226349503767,0.04369839338612931,0.19125090230891292,0.1892776843566229,554178.74
2019->2020,DE,50,49,0.046779206491949124,0.039148787096124814,0.39460915885124764,0.3797144462357712,105145.98000000001
2019->2020,DC,164,156,0.059170660349811485,0.0519491842549397,0.453417139395844,0.4467873677108322,112765.88
2019->2020,FL,583,561,0.053205741100330536,0.051252041757859426,0.38182603104310064,0.3792853716872037,4927925.2
2019->2020,GA,160,151,0.053803202133687104,0.05089038874131456,0.412989466250413,0.4210883454683899,1235577.0299999998
2019->2020,HI,140,136,0.059453679150871845,0.05880028539246046,0.29793215498824427,0.28765038333920473,230225.49000000002
2019->2020,ID,81,76,0.08750748075862609,0.0749502543589605,0.6212394891843342,0.6507093295298667,141645.75
2019->2020,IL,225,207,0.05749671940016908,0.05336507269447567,0.44700747328758794,0.44399344270616986,1822122.4700000002
2019->2020,IN,33,32,0.054775208769024517,0.057459838482306146,0.4467313095905169,0.42409826342835116,381838.06999999995
2019->2020,IA,35,35,0.04376453567049485,0.04377289316124839,0.3422136483236475,0.3422136483236475,202641.59000000003
2019->2020,KS,47,47,0.054285050103330644,0.05739516730815409,0.4916215678776291,0.4916215678776291,172050.07
2019->2020,KY,26,21,0.04964193960282468,0.048167293034218434,0.6677476651051835,0.59534518767879,190229.06
2019->2020,LA,60,51,0.06393853146940064,0.0635021969158928,0.4215468417823375,0.36629489940170146,218690.36
2019->2020,ME,27,27,0.022380773847197954,0.027631849828396907,0.22046648052303436,0.22046648052303436,65563.31999999999
2019->2020,MD,140,138,0.057889642517828015,0.05412830274157289,0.4834737226250904,0.4764815353863389,990057.8600000001
2019->2020,MA,193,187,0.05925905110552648,0.04799056229788419,0.3680149140399884,0.36992380853987467,1173331.79
2019->2020,MI,90,82,0.03464640465230445,0.030526408075582632,0.324960555695726,0.3239063879417172,653409.2799999999
2019->2020,MN,56,56,0.05040418464265978,0.04544430920057021,0.40526014105149405,0.40526014105149405,512793.11
2019->2020,MS,18,17,0.06103357007013436,0.05252106067576523,0.27217921019965974,0.23965988016380338,39021.33
2019->2020,MO,16,16,0.010639954015712251,0.009758966787027762,0.3029816277127826,0.3029816277127826,213977.01
2019->2020,MT,23,23,0.05288964268724425,0.04870591281579946,0.6225039663189126,0.6225039663189126,17303.07
2019->2020,NE,74,67,0.048365004646423515,0.040370289469006546,0.36268254772418984,0.35257029516949073,173999.01
2019->2020,NV,122,117,0.05597672293466807,0.050797149713274765,0.3383735425891795,0.34960605141442047,486651.71
2019->2020,NH,39,38,0.03239359577394121,0.02455554906043051,0.506274092040812,0.4910794320768247,86410.81
2019->2020,NJ,269,254,0.057603058332232546,0.05055054370804567,0.3579706933683241,0.3459880503591378,2040273.2599999998
2019->2020,NM,99,97,0.0346739234729369,0.036013597377819166,0.37787778817538537,0.38581888626860233,174853.75
2019->2020,NY,509,487,0.06457866856592201,0.06282625137626849,0.2774675625569565,0.2704815851432796,4369861.54
2019->2020,NC,119,109,0.05821920732097734,0.049143630105065714,0.41995213916907964,0.43235791227616377,948300.6799999999
2019->2020,ND,36,29,0.09042730164889014,0.09033819466910151,0.5415562385286955,0.45159162536759095,30011.699999999997
2019->2020,OH,90,79,0.07068210901007929,0.05903628217746325,0.6111445528419385,0.5756018107557914,650779.51
2019->2020,OK,51,51,0.03675653284148835,0.033453336719690634,0.3661191148555226,0.3661191148555226,264768.02999999997
2019->2020,OR,79,71,0.04826731434630561,0.048223810526984975,0.22059671552130528,0.2483612732376587,386002.46
2019->2020,PA,98,96,0.0324830514819004,0.02935396489221549,0.20974752749589312,0.21264929012669664,934123.51
2019->2020,RI,89,85,0.05143334880818968,0.05313374796272901,0.4228804479670812,0.4301891052333318,164660.35
2019->2020,SC,41,36,0.03810554460740152,0.03930795229975264,0.4221148396082713,0.443102627104231,253031.14
2019->2020,SD,20,20,0.06856298342654586,0.0637419791584414,0.2787059683003526,0.2787059683003526,35503.99999999999
2019->2020,TN,41,33,0.048720400774185005,0.04962977423816364,0.110532202498417,0.14413337747515192,348914.79000000004
2019->2020,TX,585,559,0.048903377556797176,0.04238454178319559,0.4297115675227396,0.43046708998268796,4825577.52
2019->2020,UT,101,91,0.05594922522567676,0.05057117042414202,0.46284880552799396,0.4607043285771282,246405.44999999998
2019->2020,VT,35,32,0.03677247329785868,0.036556181500810116,0.44353810981620995,0.4162232414950533,26064.579999999998
2019->2020,VA,157,147,0.05161722250090401,0.049991993865145565,0.4384437387294828,0.4517174446088741,1249948.6
2019->2020,WA,152,142,0.046968710188325644,0.03574045249799637,0.42765431846794794,0.4243382246559194,1207520.53
2019->2020,WV,15,15,0.0877463406664959,0.08834665638976863,0.5209409581677866,0.5209409581677866,31445.47
2019->2020,WI,33,33,0.03244961084911032,0.03380584194110264,0.287239617310972,0.287239617310972,296633.66
2019->2020,WY,22,21,0.053093816330642384,0.055993893724632794,0.425517860791796,0.401103269929578,16333.41
2020->2021,AL,34,33,-0.021213770101194657,-0.02001862262214026,0.3872783851205402,0.40224675882789496,185686.08
2020->2021,AK,41,34,-0.04901610612184312,-0.04934330075786225,0.19930962052659276,0.22872207805767597,42725.25
2020->2021,AZ,88,85,-0.014883906250095062,-0.010693829363903654,0.40134369767908057,0.39507236022211434,1002707.99
2020->2021,AR,45,44,-0.01729222082128631,-0.012931405390005172,0.30469118413956325,0.2896550420875018,136689.03999999998
2020->2021,CA,1074,1053,-0.025596740274456322,-0.02477868806764668,0.23222382141680725,0.22757752134073642,9951199.129999999
2020->2021,CO,67,66,-0.029536249892390683,-0.035861869630746473,0.31047198101257706,0.31459613708071626,668293.56
2020->2021,CT,75,72,-0.028898872443767282,-0.027933143298567477,0.2804399493945987,0.29140262638528885,565049.38
2020->2021,DE,28,27,-0.017200820290340132,-0.014940271690450457,0.3903338261556022,0.3715319762409832,74900.94
2020->2021,DC,98,97,-0.02232819040430694,-0.018243259885408182,0.3950949814676515,0.39948266950183786,95928.16
2020->2021,FL,459,430,-0.03849999449265856,-0.03413486503058545,0.33057668256027445,0.3197648754096604,4717753.0600000005
2020->2021,GA,120,114,-0.0209925620391124,-0.01319568677995754,0.3555823250148583,0.34386020992847705,1190876.29
2020->2021,HI,121,115,-0.04289099836767805,-0.03799369404474185,0.18025749564043425,0.17534254258839485,223564.41999999998
2020->2021,ID,50,44,-0.028714205080385045,-0.019684153571974377,0.12431992612739269,0.13553871752042307,97594.98000000001
2020->2021,IL,181,177,-0.029901224653905382,-0.028329558604776355,0.21112139940731808,0.20106819191183614,1891390.66
2020->2021,IN,30,28,-0.03281208680504142,-0.01800534600472256,0.4565733293573152,0.42641066764231095,305554.27
2020->2021,IA,45,43,-0.04113048219955499,-0.03532686495257717,0.30471613507379147,0.325675726776676,261559.32
2020->2021,KS,33,30,-0.001208956290401872,-0.00596456030293343,0.18106824714754233,0.19734621325174406,171998.37
2020->2021,KY,23,20,-0.04855505646965228,-0.04126610976233794,0.2377689110131566,0.23514002188605526,164644.17
2020->2021,LA,53,50,-0.015055189889704472,-0.012127283163307953,0.2717236463783013,0.25291756412271893,207969.11
2020->2021,ME,16,16,-0.028929114616375342,-0.035681955279994085,0.3517064182646042,0.3517064182646042,70294.59000000001
2020->2021,MD,110,107,-0.013077742172568787,-0.01330514300878693,0.3306974345950002,0.3288403954064594,1114524.56
2020->2021,MA,215,201,-0.031675079496459625,-0.026152508979176654,0.37817231421992914,0.36559929491582316,1240378.5
2020->2021,MI,62,58,-0.03979468037344073,-0.03633955898231106,0.2599392640240044,0.2555175411639003,671441.0700000001
2020->2021,MN,52,50,-0.038757075674405374,-0.03163241901147669,0.34530824339137095,0.32227507088411433,504187.21
2020->2021,MS,11,11,-0.013480063487182658,-0.014420946971618184,0.42100313722752847,0.42100313722752847,51213.090000000004
2020->2021,MO,21,20,-0.022384034395676353,-0.0100229052135477,0.23053081788485238,0.20861307608785598,189856.41999999998
2020->2021,MT,23,18,-0.03639902890506313,-0.04033155327974194,0.4798457234521612,0.42051494647695475,16220.45
2020->2021,NE,27,21,-0.03360876643155247,-0.03179006549935479,0.3873062034147135,0.46340384743140767,174797.0
2020->2021,NV,118,115,-0.022800153934281656,-0.02401777745691185,0.3500267058249484,0.3286955694512963,495176.43
2020->2021,NH,59,59,-0.017425307767079568,-0.009803839426900355,0.2638113928626762,0.2638113928626762,93219.02
2020->2021,NJ,234,226,-0.03396870005510384,-0.032184682047869125,0.24127559064961462,0.24211569469427566,2054183.88
2020->2021,NM,99,99,-0.0112007494222746,-0.006931423867711587,0.3301108689597024,0.3301108689597024,193557.51
