pair,state,n,n_adults,e_adj,e_adj_dur,raw_u_f,raw_u_f_adults,fb_stock,e_direct,v,e_shrunk,post_sd,direct_se,shrink_weight_own,window
2024->2025,AK,48.0,45.0,0.0797609668681589,0.0753074094532991,0.6542820326517721,0.6354919806485297,55972.1,0.36822276831293055,0.011027009806944063,0.14925741680378296,0.053261378569543806,0.1050095700731322,0.2572569079735335,2024->2025
2024->2025,VA,122.0,114.0,0.0370768554282505,0.0216196783134661,0.4890453010272973,0.4993102408581099,1248125.36,0.21755289948249715,0.004697723414742468,0.1380519490661577,0.045897851110328076,0.0685399402884367,0.4484326876152052,2024->2025
2024->2025,MD,115.0,104.0,0.0359353144559856,0.0407305117738823,0.5120056969625801,0.4835472155091648,1178399.04,0.20011287437082334,0.005143861699341763,0.12740334058305505,0.046817325948275125,0.07172072015353556,0.42611215795858554,2024->2025
2024->2025,TX,660.0,622.0,0.0581415234901797,0.0613217540971346,0.4402498129956221,0.4274220572098078,5946207.619999999,0.13801666197064724,0.0008428577259141743,0.12633783477311072,0.026276998692507457,0.029032012088626828,0.8192137760108141,2024->2025
2024->2025,MN,65.0,59.0,0.0494032647122109,0.0764388341311687,0.5399781418353309,0.528925168651949,510597.54999999993,0.25031850589189925,0.009046596819641945,0.12593083977711567,0.05182213724183938,0.09511359955149393,0.29685570848931964,2024->2025
2024->2025,DC,93.0,87.0,0.0275672450369496,0.0261507268001864,0.4935583862529515,0.4805079178154717,82759.62,0.19675023129143457,0.0061462941517865955,0.12068411491528754,0.048534180673463566,0.0783983045211221,0.38324991213765647,2024->2025
2024->2025,NJ,266.0,249.0,0.0459131664481719,0.0427352654586568,0.4083364162029187,0.4200125926905347,2372008.7,0.12981891791964076,0.0020957266751450033,0.10983528550208768,0.0367858910819979,0.04577910740878423,0.6456957382588953,2024->2025
2024->2025,ID,72.0,69.0,0.0650960395696254,0.0682146991661813,0.4573520089325077,0.4639311006311752,130527.32,0.1784098365026192,0.007721081223901008,0.10816424336815084,0.05055006008845043,0.08786968318994333,0.33095216859471166,2024->2025
2024->2025,GA,141.0,136.0,0.0464486967637461,0.0679795650989501,0.4354791621183356,0.4270734712181158,1388864.33,0.1376309905456442,0.003854035684586411,0.10537846943998434,0.04379840136440858,0.06208088018533896,0.49773798663820273,2024->2025
2024->2025,TN,70.0,68.0,0.0406293093218875,0.0320531678034343,0.4543123253029136,0.438857283901244,453418.57000000007,0.15066846175156154,0.007757840401134445,0.09890199717264506,0.05058974203819456,0.0880786035376041,0.3299013471734756,2024->2025
2024->2025,LA,54.0,47.0,0.0421301020513365,0.0578335635309046,0.5210293158298585,0.458490174618752,300349.92,0.17239006021051487,0.01131596587197079,0.09839199764461898,0.0534371854255452,0.10637652876443558,0.25234547527906076,2024->2025
2024->2025,KS,60.0,53.0,0.0605324843194226,0.0661492116931853,0.4630436572357073,0.437219831064685,242482.44,0.14885680326871314,0.009945254028377613,0.09434924321419905,0.052531478687607075,0.09972589447268755,0.2774746874471429,2024->2025
2024->2025,OK,44.0,44.0,0.077014437656334,0.0838923006375459,0.433731831877357,0.433731831877357,319304.23,0.14499772215516477,0.01195759615238573,0.0907450537952227,0.05380268604948805,0.10935079401808534,0.2420828558892442,2024->2025
2024->2025,CT,92.0,87.0,0.045158100122896,0.0657842068492055,0.4424134788746543,0.4089730567117195,584512.6,0.11760490567073903,0.005951628806232863,0.09068907395886827,0.04823281565344211,0.07714680036289816,0.390885349473172,2024->2025
2024->2025,OR,84.0,77.0,0.0289392504585826,0.0353864355720643,0.4065330080046365,0.4112977504675238,452847.28,0.12017691939149927,0.0067361913756112295,0.09033588386425626,0.04936971691388808,0.08207430399102529,0.3618319035563749,2024->2025
2024->2025,MT,31.0,29.0,0.0375237266446822,0.05831380134673,0.4796711437989754,0.4526438641762484,24725.97,0.16592177137186706,0.018301291702544534,0.08938832466720548,0.056212821703210125,0.13528226677042537,0.17265892348994988,2024->2025
2024->2025,AR,26.0,24.0,0.0575440440428675,0.0497473325361728,0.5118673068834435,0.4661876252364521,167465.87,0.1809064286801971,0.022212183335789528,0.08918729803626632,0.05708724468209967,0.1490375232476356,0.1467191881197427,2024->2025
2024->2025,WV,23.0,23.0,0.0292860367072138,0.0251968696151926,0.4656723645091924,0.4656723645091924,21116.980000000003,0.18033635029590592,0.02317466038644075,0.08854432562583205,0.05726197301680716,0.15223225803501947,0.14148787939503185,2024->2025
2024->2025,CO,72.0,68.0,0.0575908910189166,0.0748425287237103,0.3892032389824321,0.4012674786726597,626190.07,0.10907954511803532,0.007568520844903837,0.085377352248026,0.050382287360572035,0.08699724619149642,0.335385860949625,2024->2025
2024->2025,NE,63.0,59.0,0.0325121375707389,0.0276849848455486,0.3886257720708276,0.4030350140679005,201956.5,0.11103512540775644,0.008735599957989917,0.08486039781160197,0.05155045064288033,0.09346443151268785,0.3042090954558233,2024->2025
2024->2025,ND,37.0,34.0,0.0471425585486308,0.0783547923104652,0.4119729669084022,0.4148982477823813,35228.68,0.12416046710493561,0.015294919480456403,0.08355589550781375,0.055282562392733894,0.12367263028033487,0.1998154817756072,2024->2025
2024->2025,UT,90.0,82.0,0.0585712134102925,0.0784325635099113,0.4198699279125317,0.3892854792471353,333500.54,0.09582280244057767,0.006210773779328773,0.08194848267264315,0.048631025170488194,0.07880846261239191,0.3807861456818752,2024->2025
