pair,stratifier,level,n,e_adj,raw_u_f,wpop
2019->2020,sex,female,3595,0.03738530471892407,0.35166337249395696,6877811.82
2019->2020,sex,male,3304,0.07161612562071139,0.3807363951424429,6555571.76
2019->2020,agegrp,0-14,322,0.07077334121109591,0.4394442991468283,590129.74
2019->2020,agegrp,15-24,559,0.0689527588079362,0.4771317494542268,1158572.01
2019->2020,agegrp,25-34,1155,0.03247914112700859,0.47525604642316843,2356380.31
2019->2020,agegrp,35-44,1382,0.06801072986294499,0.3727981029297666,2577169.74
2019->2020,agegrp,45-54,1340,0.03935759836338686,0.3298648151896541,2609464.0300000003
2019->2020,agegrp,55-64,1068,0.04185737755144146,0.2745110348938898,1974686.4100000001
2019->2020,agegrp,65-74,639,0.13377727405517567,0.287283358309946,1252404.95
2019->2020,agegrp,75+,434,0.00027597022230167756,0.2834229735582831,914576.3899999999
2019->2020,citizenship,naturalized,3368,0.045849204752953614,0.3179960080499716,6758741.92
2019->2020,citizenship,noncitizen,3531,0.062434932155955615,0.41430932937903964,6674641.66
2019->2020,region_birth,africa,463,0.06612041108732924,0.4345232239319749,955077.72
2019->2020,region_birth,asia,2137,0.04481897940743931,0.3415971606542673,4239940.16
2019->2020,region_birth,europe,704,0.04263164969049543,0.2761647782368618,1700083.49
2019->2020,region_birth,mexico,1758,0.05924761642168057,0.3915888740265271,2866764.34
2019->2020,region_birth,oceania,43,0.05371743329635226,0.43530672803648396,105328.65
2019->2020,region_birth,other_americas,1779,0.06316372310201199,0.39518774187235367,3545563.34
2019->2020,region_birth,other_unknown,15,0.07265317292547072,0.5892912205442872,20625.88
2019->2020,race_eth,hispanic,2989,0.06297627654731333,0.39533855119516836,5100377.8
2019->2020,race_eth,nh_asian,1873,0.04380774317742618,0.3459191934665816,3547714.62
2019->2020,race_eth,nh_black,666,0.06585365793796032,0.45229382885475894,1506957.2400000002
2019->2020,race_eth,nh_other,88,0.056994052618613684,0.41316752094046916,159911.65000000002
2019->2020,race_eth,nh_white,1283,0.04542069538164439,0.2960993958011979,3118422.27
2019->2020,educ4,lt_hs,1429,0.059860296479040634,0.35262403253578306,2432044.7300000004
2019->2020,educ4,hs,1492,0.09139279673447237,0.3929130172373177,2867689.21
2019->2020,educ4,some_col,981,0.030327674888528854,0.33768239733735905,1942276.1600000001
2019->2020,educ4,ba_plus,2116,0.031149673976788816,0.3291434521541838,4442671.73
2019->2020,income_q,q1_low,1753,0.0667554669078791,0.3881325742641123,3323979.6799999997
2019->2020,income_q,q2,1698,0.06426987183816849,0.3960961496297754,3220727.95
2019->2020,income_q,q3,1723,0.05224142734482017,0.36693192642682126,3430527.87
2019->2020,income_q,q4_high,1725,0.03426934823221056,0.3151936541711077,3458148.08
2019->2020,duration,0-4 yrs,1146,0.06754426039372134,0.496478061187709,2313475.7399999998
2019->2020,duration,10+ yrs,5081,0.0503819251126138,0.3323377800101684,9771925.93
2019->2020,duration,5-9 yrs,672,0.05788155804070076,0.38461134838226424,1347981.9100000001
2020->2021,sex,female,2934,-0.03534160610181701,0.26487269033916744,6669824.54
2020->2021,sex,male,2604,-0.01839260260310288,0.2990407533002374,6067791.53
2020->2021,agegrp,0-14,227,-0.03805361181744079,0.3996621529152147,485551.03
2020->2021,agegrp,15-24,407,-0.0512667768723384,0.40469286833151025,1007232.1799999999
2020->2021,agegrp,25-34,805,0.030719085419983482,0.413720278440405,2069367.77
2020->2021,agegrp,35-44,1103,-0.06076193620657822,0.27474650684948143,2490871.05
2020->2021,agegrp,45-54,1123,0.006079551710899398,0.21904512932616374,2374562.82
2020->2021,agegrp,55-64,877,-0.04355149147639406,0.22004256888549775,2000926.2400000002
2020->2021,agegrp,65-74,577,-0.07630700566404593,0.17453934584280226,1335948.0
2020->2021,agegrp,75+,419,-0.015187655876159006,0.252165770829697,973156.98
2020->2021,citizenship,naturalized,2931,-0.032174731647895055,0.22391000728440386,6812870.529999999
2020->2021,citizenship,noncitizen,2607,-0.021624980858852873,0.3469687290570119,5924745.54
2020->2021,region_birth,africa,292,-0.03704590776456885,0.37398095715014507,774095.2700000001
2020->2021,region_birth,asia,1791,-0.027743348137069645,0.26060625253973657,3889601.19
2020->2021,region_birth,europe,624,-0.03666774954759507,0.19133446970154253,1757751.86
2020->2021,region_birth,mexico,1370,-0.011052972202062967,0.26884376801391063,2890526.59
2020->2021,region_birth,oceania,55,-0.03663861543710174,0.28895908146559857,85551.93999999999
2020->2021,region_birth,other_americas,1394,-0.03333603472409295,0.3420847615178778,3311660.6100000003
2020->2021,region_birth,other_unknown,12,-0.02825728419064229,0.2466466000272261,28428.61
