time	biweekly_cases
14	17
28	38
42	213
56	540
70	899
84	1312
98	1993
112	2883
126	3453
140	3675
154	2145
169	903
183	389
197	118
211	20
225	8
239	2
253	2
267	5
281	1
295	2
309	5
323	18
337	6
351	5
365	2
379	4
393	64
407	29
421	15
435	19
449	34
464	46
478	45
492	70
506	71
520	65
534	60
548	21
562	7
576	3
590	3
604	0
618	2
632	1
646	0
660	0
674	6
688	3
702	3
716	5
730	4
745	7
759	19
773	31
787	53
801	70
815	95
829	220
843	250
857	450
871	683
885	569
899	480
913	369
927	209
941	150
955	52
969	24
983	14
997	14
1011	3
1025	1
1040	16
1054	25
1068	90
1082	165
1096	186
1110	448
1124	487
1138	574
1152	817
1166	1238
1180	1458
1194	1374
1208	1019
1222	712
1236	553
1250	339
1264	193
1278	113
1292	34
1306	16
1320	6
1335	2
1349	3
1363	4
1377	3
1391	5
1405	4
1419	5
1433	5
1447	4
1461	2
1475	13
1489	9
1503	12
1517	6
1531	17
1545	17
1559	38
1573	28
1587	42
1601	62
1615	56
1630	60
1644	37
1658	19
1672	15
1686	12
1700	9
1714	2
1728	15
1742	22
1756	37
1770	55
1784	68
1798	93
1812	137
1826	222
1840	661
1854	1397
1868	1938
1882	2095
1896	1831
1910	1365
1925	912
1939	665
1953	462
1967	319
1981	144
1995	113
2009	46
2023	9
2037	3
2051	3
2065	0
2079	1
2093	6
2107	4
2121	0
2135	4
2149	3
2163	4
2177	4
2191	2
2206	1
2220	4
2234	4
2248	3
2262	3
2276	2
2290	2
2304	2
2318	1
2332	4
2346	10
2360	3
2374	5
2388	2
2402	3
2416	1
2430	4
2444	4
2458	2
2472	2
2486	6
2501	5
2515	5
2529	4
2543	2
2557	3
2571	12
2585	12
2599	8
2613	44
2627	64
2641	101
2655	183
2669	264
2683	311
2697	364
2711	468
2725	647
2739	497
2753	376
2767	244
2781	101
2796	57
2810	25
2824	17
2838	16
2852	17
2866	16
2880	51
2894	100
2908	181
2922	204
2936	350
2950	377
2964	388
2978	537
2992	712
3006	868
3020	867
3034	761
3048	642
3062	477
3076	237
3091	154
3105	57
3119	32
3133	13
3147	6
3161	10
3175	7
3189	4
3203	6
3217	3
3231	2
3245	1
3259	5
3273	4
3287	1
3301	10
3315	12
3329	23
3343	34
3357	60
3371	95
3386	105
3400	186
3414	283
3428	303
3442	244
3456	301
3470	179
3484	101
3498	72
3512	42
3526	17
3540	10
3554	4
3568	7
3582	7
3596	9
3610	11
3624	24
3638	38
3652	59
3667	135
3681	267
3695	712
3709	1158
3723	1594
3737	1845
3751	1608
3765	1329
3779	874
3793	543
3807	258
3821	114
3835	40
3849	26
3863	4
3877	2
3891	2
3905	1
3919	2
3933	0
3947	3
3962	3
3976	3
3990	1
4004	1
4018	5
4032	4
4046	12
4060	13
4074	9
4088	7
4102	14
4116	19
4130	19
4144	15
4158	12
4172	22
4186	10
4200	8
4214	8
4228	4
4242	0
4257	2
4271	7
4285	1
4299	1
4313	1
4327	4
4341	3
4355	2
4369	5
4383	6
4397	21
4411	47
4425	84
4439	248
4453	463
4467	638
4481	874
4495	769
4509	935
4523	896
4537	946
4552	1010
4566	650
4580	379
4594	164
4608	69
4622	25
4636	6
4650	8
4664	2
4678	2
4692	5
4706	5
4720	7
4734	12
4748	16
4762	11
4776	8
4790	9
4804	13
4818	13
4832	6
4847	23
4861	11
4875	28
4889	24
4903	41
4917	34
4931	15
4945	13
4959	4
4973	10
4987	6
5001	4
5015	2
5029	2
5043	2
5057	2
5071	2
5085	1
5099	2
5113	3
5128	4
5142	10
5156	5
5170	24
5184	40
5198	65
5212	105
5226	191
5240	617
5254	1073
5268	1302
5282	1666
5296	1147
