decyear	cases	city
1944.0150581793291	180.0	london
1944.053388090349	271.0	london
1944.091718001369	423.0	london
1944.1300479123888	465.0	london
1944.1683778234087	523.0	london
1944.2067077344284	649.0	london
1944.2450376454483	624.0	london
1944.2833675564682	556.0	london
1944.321697467488	420.0	london
1944.3600273785078	423.0	london
1944.3983572895277	488.0	london
1944.4366872005476	441.0	london
1944.4750171115675	268.0	london
1944.5133470225874	260.0	london
1944.551676933607	163.0	london
1944.590006844627	83.0	london
1944.6283367556468	60.0	london
1944.6666666666667	41.0	london
1944.7049965776864	48.0	london
1944.7433264887063	65.0	london
1944.7816563997262	82.0	london
1944.8199863107461	145.0	london
1944.858316221766	122.0	london
1944.8966461327857	194.0	london
1944.9349760438056	237.0	london
1944.9733059548255	318.0	london
1945.0116358658454	450.0	london
1945.049965776865	671.0	london
1945.088295687885	1387.0	london
1945.1266255989049	1617.0	london
1945.1649555099248	2058.0	london
1945.2032854209447	3099.0	london
1945.2416153319643	3340.0	london
1945.2799452429842	2965.0	london
1945.3182751540041	1873.0	london
1945.356605065024	1641.0	london
1945.3949349760437	1122.0	london
1945.4332648870636	884.0	london
1945.4715947980835	591.0	london
1945.5099247091034	427.0	london
1945.5482546201233	282.0	london
1945.586584531143	174.0	london
1945.624914442163	127.0	london
1945.6632443531828	84.0	london
1945.7015742642027	97.0	london
1945.7399041752224	68.0	london
1945.7782340862423	88.0	london
1945.8165639972622	79.0	london
1945.854893908282	58.0	london
1945.8932238193017	85.0	london
1945.9315537303216	75.0	london
1945.9698836413415	121.0	london
1946.0082135523614	174.0	london
1946.0465434633813	209.0	london
1946.084873374401	458.0	london
1946.123203285421	742.0	london
1946.1615331964408	929.0	london
1946.1998631074607	1027.0	london
1946.2381930184804	1411.0	london
1946.2765229295003	1885.0	london
1946.3148528405202	2110.0	london
1946.35318275154	1764.0	london
1946.39151266256	2001.0	london
1946.4298425735797	2154.0	london
1946.4681724845996	1843.0	london
1946.5065023956195	1427.0	london
1946.5448323066394	970.0	london
1946.583162217659	726.0	london
1946.621492128679	416.0	london
1946.6598220396988	218.0	london
1946.6981519507187	160.0	london
1946.7364818617386	160.0	london
1946.7748117727583	188.0	london
1946.8131416837782	224.0	london
1946.851471594798	298.0	london
1946.889801505818	436.0	london
1946.9281314168377	482.0	london
1946.9664613278576	468.0	london
1947.0047912388775	650.0	london
1947.0431211498974	796.0	london
1947.0814510609173	1065.0	london
1947.119780971937	1241.0	london
1947.1581108829569	1230.0	london
1947.1964407939768	1012.0	london
1947.2347707049967	981.0	london
1947.2731006160163	1015.0	london
1947.3114305270362	771.0	london
1947.3497604380561	1031.0	london
1947.388090349076	1093.0	london
1947.4264202600957	1196.0	london
1947.4647501711156	1076.0	london
1947.5030800821355	1029.0	london
1947.5414099931554	828.0	london
1947.5797399041753	669.0	london
1947.618069815195	372.0	london
1947.6563997262149	171.0	london
1947.6947296372348	84.0	london
1947.7330595482547	71.0	london
1947.7713894592744	113.0	london
1947.8097193702943	108.0	london
1947.8480492813142	188.0	london
1947.886379192334	241.0	london
1947.924709103354	305.0	london
1947.9630390143736	248.0	london
1948.0013689253935	477.0	london
1948.0396988364134	524.0	london
1948.0780287474333	851.0	london
1948.116358658453	1415.0	london
1948.154688569473	2235.0	london
1948.1930184804928	2973.0	london
1948.2313483915127	3144.0	london
1948.2696783025326	3169.0	london
1948.3080082135523	2248.0	london
1948.3463381245722	1976.0	london
1948.384668035592	2128.0	london
1948.422997946612	1901.0	london
1948.4613278576317	1635.0	london
1948.4996577686516	1265.0	london
1948.5379876796715	1154.0	london
1948.5763175906914	887.0	london
1948.6146475017113	476.0	london
1948.652977412731	269.0	london
1948.6913073237508	171.0	london
1948.7296372347707	185.0	london
1948.7679671457906	157.0	london
1948.8062970568103	205.0	london
1948.8446269678302	231.0	london
1948.88295687885	262.0	london
1948.92128678987	333.0	london
1948.95961670089	290.0	london
1948.9979466119096	612.0	london
1949.0362765229295	677.0	london
1949.0746064339494	983.0	london
1949.1129363449693	1586.0	london
1949.151266255989	1912.0	london
1949.1895961670089	2265.0	london
1949.2279260780288	2761.0	london
1949.2662559890487	3388.0	london
1949.3045859000686	3240.0	london
1949.3429158110882	2278.0	london
1949.3812457221081	2058.0	london
1949.419575633128	1884.0	london
1949.457905544148	1521.0	london
1949.4962354551676	1237.0	london
1949.5345653661875	869.0	london
1949.5728952772074	576.0	london
1949.6112251882273	381.0	london
1949.649555099247	212.0	london
1949.6878850102669	108.0	london
1949.7262149212868	90.0	london
1949.7645448323067	72.0	london
1949.8028747433266	103.0	london
1949.8412046543463	61.0	london
1949.8795345653662	51.0	london
1949.917864476386	57.0	london
1949.956194387406	66.0	london
1949.9945242984256	90.0	london
1950.0328542094455	90.0	london
1950.0711841204654	66.0	london
1950.1095140314853	109.0	london
1950.1478439425052	120.0	london
1950.186173853525	114.0	london
1950.2245037645448	216.0	london
1950.2628336755647	262.0	london
1950.3011635865846	377.0	london
1950.3394934976043	403.0	london
1950.3778234086242	829.0	london
1950.416153319644	1091.0	london
1950.454483230664	1174.0	london
1950.4928131416839	1275.0	london
1950.5311430527036	1248.0	london
1950.5694729637235	1244.0	london
1950.6078028747434	836.0	london
1950.6461327857633	515.0	london
1950.684462696783	308.0	london
1950.7227926078028	418.0	london
1950.7611225188227	592.0	london
1950.7994524298426	837.0	london
1950.8377823408625	1056.0	london
1950.8761122518822	1593.0	london
1950.914442162902	2446.0	london
1950.952772073922	3090.0	london
1950.991101984942	4675.0	london
1951.0294318959616	4610.0	london
1951.0677618069815	4578.0	london
1951.1060917180014	6107.0	london
1951.1444216290213	7061.0	london
1951.182751540041	6637.0	london
1951.2210814510609	4878.0	london
1951.2594113620808	3693.0	london
1951.2977412731007	2228.0	london
1951.3360711841206	1752.0	london
1951.3744010951402	1449.0	london
1951.4127310061601	960.0	london
1951.45106091718	761.0	london
1951.4893908282	456.0	london
1951.5277207392196	342.0	london
1951.5660506502395	207.0	london
1951.6043805612594	127.0	london
1951.6427104722793	119.0	london
1951.6810403832992	85.0	london
1951.7193702943189	59.0	london
1951.7577002053388	54.0	london
1951.7960301163587	124.0	london
1951.8343600273786	115.0	london
1951.8726899383983	69.0	london
1951.9110198494182	58.0	london
1951.949349760438	44.0	london
1951.987679671458	65.0	london
1952.0260095824779	77.0	london
1952.0643394934975	91.0	london
1952.1026694045174	168.0	london
1952.1409993155373	276.0	london
1952.1793292265572	474.0	london
1952.217659137577	471.0	london
1952.2559890485968	441.0	london
1952.2943189596167	569.0	london
1952.3326488706366	462.0	london
1952.3709787816565	650.0	london
1952.4093086926762	1072.0	london
1952.447638603696	1384.0	london
1952.485968514716	1319.0	london
1952.5242984257359	1521.0	london
1952.5626283367556	1788.0	london
1952.6009582477755	1677.0	london
1952.6392881587954	985.0	london
1952.6776180698153	520.0	london
1952.7159479808352	626.0	london
1952.7542778918548	1236.0	london
1952.7926078028747	2058.0	london
1952.8309377138946	2241.0	london
1952.8692676249145	2337.0	london
1952.9075975359342	3048.0	london
1952.945927446954	3201.0	london
1952.984257357974	3701.0	london
1953.022587268994	3682.0	london
1953.0609171800138	2891.0	london
1953.0992470910335	3168.0	london
1953.1375770020534	3456.0	london
1953.1759069130733	2992.0	london
1953.2142368240932	2572.0	london
1953.2525667351129	1985.0	london
1953.2908966461328	1464.0	london
1953.3292265571527	788.0	london
1953.3675564681726	650.0	london
1953.4058863791922	566.0	london
1953.4442162902121	498.0	london
1953.482546201232	318.0	london
1953.520876112252	217.0	london
1953.5592060232718	145.0	london
1953.5975359342915	117.0	london
1953.6358658453114	49.0	london
1953.6741957563313	46.0	london
1953.7125256673512	29.0	london
1953.7508555783709	22.0	london
1953.7891854893908	32.0	london
1953.8275154004107	43.0	london
1953.8658453114306	39.0	london
1953.9041752224505	32.0	london
1953.9425051334701	29.0	london
1953.98083504449	10.0	london
1954.01916495551	31.0	london
1954.0574948665299	23.0	london
1954.0958247775495	35.0	london
1954.1341546885694	62.0	london
1954.1724845995893	74.0	london
1954.2108145106092	89.0	london
1954.2491444216291	112.0	london
1954.2874743326488	160.0	london
1954.3258042436687	143.0	london
1954.3641341546886	119.0	london
1954.4024640657085	110.0	london
1954.4407939767282	176.0	london
1954.479123887748	175.0	london
1954.517453798768	312.0	london
1954.5557837097879	316.0	london
1954.5941136208078	249.0	london
1954.6324435318274	186.0	london
1954.6707734428473	120.0	london
1954.7091033538672	167.0	london
1954.7474332648871	284.0	london
1954.7857631759068	389.0	london
1954.8240930869267	539.0	london
1954.8624229979466	471.0	london
1954.9007529089665	663.0	london
1954.9390828199862	1021.0	london
1954.977412731006	1538.0	london
1955.015742642026	1795.0	london
1955.054072553046	1793.0	london
1955.0924024640658	3240.0	london
1955.1307323750855	5096.0	london
1955.1690622861054	6038.0	london
1955.2073921971253	7022.0	london
1955.2457221081452	7192.0	london
1955.2840520191648	5905.0	london
1955.3223819301847	3025.0	london
1955.3607118412046	2025.0	london
1955.3990417522245	1715.0	london
1955.4373716632444	1428.0	london
1955.4757015742641	848.0	london
1955.514031485284	652.0	london
1955.552361396304	358.0	london
1955.5906913073238	254.0	london
1955.6290212183435	158.0	london
1955.6673511293634	96.0	london
1955.7056810403833	46.0	london
1955.7440109514032	61.0	london
1955.782340862423	74.0	london
1955.8206707734428	61.0	london
1955.8590006844627	66.0	london
1955.8973305954826	51.0	london
1955.9356605065025	33.0	london
1955.9739904175221	37.0	london
1956.012320328542	52.0	london
1956.050650239562	42.0	london
