time	weekly_cases
7	6
14	9
21	7
28	9
35	19
42	19
49	30
56	23
63	23
70	19
77	48
84	35
91	75
98	48
105	72
112	81
119	56
126	52
133	50
140	55
147	81
154	70
161	86
168	90
175	84
182	95
189	109
196	147
203	126
210	81
217	79
224	79
231	63
238	59
245	75
252	58
259	81
266	92
273	142
280	162
287	171
294	258
301	196
308	251
315	294
322	381
329	302
336	408
343	436
350	329
357	314
364	246
371	255
378	231
385	252
392	219
399	187
406	187
413	184
420	189
427	144
434	153
441	158
448	103
455	130
462	130
469	97
476	123
483	116
490	99
497	88
504	95
511	83
518	72
525	74
532	50
539	43
546	49
553	48
560	33
567	33
574	25
581	7
588	16
595	9
602	20
609	55
616	13
623	10
630	24
637	10
644	33
651	17
658	25
665	26
672	28
679	22
686	23
693	19
700	22
707	32
714	44
721	48
728	40
735	65
742	46
749	51
756	73
763	65
770	83
777	80
784	90
791	100
798	128
805	109
812	144
819	294
826	183
833	257
840	271
847	234
854	295
861	184
868	222
875	224
882	270
889	229
896	282
903	208
910	226
917	162
924	188
931	157
938	127
945	68
952	76
959	48
966	38
973	28
980	27
987	29
994	50
1001	36
1008	46
1015	53
1022	52
1029	31
1036	24
1043	39
1050	45
1057	43
1064	53
1071	67
1078	84
1085	67
1092	53
1099	84
1106	72
1113	81
1120	72
1127	72
1134	85
1141	99
1148	86
1155	121
1162	100
1169	121
1176	109
1183	179
1190	166
1197	101
1204	144
1211	113
1218	151
1225	209
1232	212
1239	282
1246	256
1253	315
1260	235
1267	248
1274	231
1281	254
1288	184
1295	160
1302	142
1309	123
1316	106
1323	62
1330	86
1337	26
1344	19
1351	24
1358	17
1365	18
1372	20
1379	22
1386	27
1393	18
1400	21
1407	16
1414	14
1421	19
1428	22
1435	26
1442	49
1449	37
1456	25
1463	56
1470	40
1477	51
1484	54
1491	54
1498	89
1505	73
1512	169
1519	212
1526	283
1533	285
1540	279
1547	424
1554	370
1561	459
1568	401
1575	395
1582	411
1589	425
1596	438
1603	356
1610	376
1617	308
1624	255
1631	186
1638	160
1645	101
1652	83
1659	90
1666	37
1673	56
1680	40
1687	42
1694	46
1701	37
1708	20
1715	26
1722	34
1729	36
1736	34
1743	29
1750	39
1757	35
1764	18
1771	34
1778	46
1785	57
1792	53
1799	62
1806	90
1813	59
1820	43
1827	64
1834	87
1841	62
1848	64
1855	42
1862	40
1869	73
1876	110
1883	118
1890	110
1897	105
1904	97
1911	126
1918	127
1925	137
1932	136
1939	146
1946	113
1953	104
1960	111
1967	110
1974	126
1981	157
1988	156
1995	169
2002	194
2009	243
2016	240
2023	261
2030	201
2037	168
2044	119
2051	90
2058	78
2065	70
2072	66
2079	60
2086	52
2093	57
2100	68
2107	63
2114	71
2121	63
2128	78
2135	90
2142	86
2149	87
2156	78
2163	77
2170	145
2177	153
2184	118
2191	249
2198	246
2205	304
2212	272
2219	320
2226	405
2233	463
2240	425
2247	522
2254	515
2261	482
2268	413
2275	454
2282	384
2289	339
2296	344
2303	266
2310	228
2317	206
2324	240
2331	168
2338	195
2345	131
2352	161
2359	143
2366	101
2373	106
2380	67
2387	104
2394	67
2401	88
2408	50
2415	47
2422	55
2429	26
2436	40
2443	25
2450	23
2457	17
2464	17
2471	29
2478	13
2485	5
2492	13
2499	11
2506	11
2513	16
2520	17
2527	18
2534	13
2541	13
2548	13
2555	10
2562	13
2569	8
2576	32
2583	33
2590	43
2597	44
2604	59
2611	60
2618	95
2625	98
2632	147
2639	151
2646	263
2653	239
2660	272
2667	243
2674	316
2681	300
2688	405
2695	523
2702	546
2709	472
2716	530
2723	450
2730	448
2737	410
2744	310
2751	319
2758	249
2765	284
2772	258
2779	176
2786	150
2793	135
2800	111
2807	109
2814	77
2821	105
2828	128
2835	115
2842	143
2849	127
2856	132
2863	131
2870	121
2877	153
2884	100
2891	166
2898	134
2905	154
2912	172
2919	148
2926	274
2933	195
2940	214
2947	177
2954	209
2961	273
2968	263
2975	300
2982	305
2989	395
2996	362
3003	368
3010	321
3017	332
3024	234
3031	234
3038	314
3045	215
3052	259
3059	258
3066	301
3073	356
3080	267
3087	330
3094	341
3101	298
3108	124
3115	172
3122	192
3129	154
3136	79
3143	48
3150	48
3157	29
3164	38
3171	16
3178	16
3185	15
3192	19
3199	36
3206	27
3213	45
3220	13
3227	28
3234	20
3241	28
3248	25
3255	30
3262	40
3269	40
3276	37
3283	34
3290	61
3297	71
3304	54
3311	42
3318	81
3325	90
3332	104
3339	119
3346	139
3353	157
3360	263
3367	285
3374	396
3381	488
3388	442
3395	550
3402	401
3409	331
3416	420
3423	422
3430	431
3437	421
3444	442
3451	506
3458	527
3465	519
3472	422
3479	340
3486	260
3493	271
3500	201
3507	171
3514	82
3521	57
3528	33
3535	51
3542	22
3549	19
3556	22
3563	37
3570	31
3577	29
3584	24
3591	31
3598	21
3605	25
3612	30
3619	21
3626	29
3633	18
3640	20
3647	22
3654	53
3661	29
3668	34
3675	28
3682	22
3689	22
3696	39
3703	55
3710	41
3717	65
3724	64
3731	89
3738	107
3745	119
3752	122
3759	94
3766	129
3773	123
3780	126
3787	118
3794	133
3801	134
3808	143
3815	189
3822	235
3829	201
3836	242
3843	232
3850	235
3857	258
3864	294
3871	226
3878	251
3885	186
3892	172
3899	159
3906	113
3913	168
3920	177
3927	137
3934	194
3941	178
3948	250
3955	194
3962	277
3969	239
3976	342
3983	265
3990	324
3997	333
4004	279
4011	132
4018	314
4025	269
4032	215
4039	155
4046	216
4053	170
4060	213
4067	240
4074	283
4081	252
4088	250
4095	166
4102	200
4109	206
4116	178
4123	171
4130	226
4137	206
4144	211
4151	178
4158	220
4165	141
4172	150
4179	159
4186	132
4193	145
4200	135
4207	147
4214	102
4221	73
4228	81
4235	45
4242	58
4249	28
4256	38
4263	19
4270	22
4277	16
4284	25
4291	23
4298	17
4305	18
4312	9
4319	19
4326	10
4333	25
4340	116
4347	17
4354	18
4361	24
4368	18
4375	8
4382	23
4389	9
4396	10
4403	16
4410	21
4417	24
4424	42
4431	47
4438	46
4445	42
4452	24
4459	39
4466	16
4473	26
4480	22
4487	57
4494	51
4501	59
4508	117
4515	118
4522	121
4529	197
4536	197
4543	198
4550	216
4557	179
4564	288
4571	215
4578	253
4585	259
4592	273
4599	235
4606	146
4613	152
4620	133
4627	109
4634	93
4641	89
4648	107
4655	110
4662	103
4669	105
4676	155
4683	154
4690	175
4697	146
4704	201
4711	177
4718	180
4725	192
4732	208
4739	197
4746	258
4753	381
4760	299
4767	291
4774	247
4781	416
4788	459
4795	469
4802	479
4809	497
4816	506
4823	646
4830	654
4837	568
4844	464
4851	350
4858	356
4865	244
4872	230
4879	211
4886	242
4893	196
4900	216
4907	197
4914	194
4921	141
4928	151
4935	138
4942	136
4949	108
4956	85
4963	88
4970	74
4977	71
4984	55
4991	48
4998	42
5005	20
5012	27
5019	13
5026	7
5033	9
5040	6
5047	8
5054	18
5061	10
5068	18
5075	20
5082	22
5089	24
5096	26
5103	24
5110	44
5117	45
5124	26
5131	23
5138	31
5145	53
5152	58
5159	60
5166	161
5173	128
5180	179
5187	159
5194	153
5201	164
5208	150
5215	150
5222	154
5229	150
5236	125
5243	140
5250	115
5257	189
5264	131
5271	185
5278	169
5285	237
5292	218
5299	263
5306	300
5313	253
5320	257
5327	241
5334	196
5341	166
5348	129
5355	73
5362	74
5369	61
5376	50
5383	41
5390	56
5397	70
5404	53
5411	108
5418	79
5425	101
5432	138
5439	128
5446	109
5453	136
5460	143
5467	233
5474	117
