time	biweekly_cases
14	49
28	67
42	53
56	96
70	148
84	200
98	233
112	278
126	450
140	641
154	717
169	772
183	402
197	270
211	136
225	70
239	34
253	18
267	27
281	16
295	18
309	29
323	30
337	54
351	79
365	104
379	153
393	241
407	444
421	782
435	1385
449	2083
464	2825
478	3021
492	3467
506	3094
520	2767
534	3022
548	1829
562	1202
576	626
590	288
604	142
618	67
632	29
646	38
660	47
674	86
688	128
702	193
716	217
730	228
745	490
759	556
773	1152
787	1881
801	2824
815	3317
829	4104
843	3750
857	4115
871	4426
885	3357
899	2684
913	1718
927	933
941	417
955	183
969	92
983	84
997	43
1011	33
1025	49
1040	44
1054	63
1068	89
1082	95
1096	79
1110	127
1124	112
1138	105
1152	282
1166	375
1180	551
1194	829
1208	1048
1222	1409
1236	1886
1250	1675
1264	1446
1278	867
1292	532
1306	252
1320	121
1335	107
1349	72
1363	18
1377	36
1391	48
1405	57
1419	67
1433	57
1447	43
1461	64
1475	198
1489	296
1503	457
1517	1070
1531	1793
1545	2861
1559	3829
1573	4987
1587	4689
1601	4111
1615	3860
1630	3241
1644	1776
1658	759
1672	382
1686	153
1700	71
1714	43
1728	35
1742	25
1756	31
1770	31
1784	44
1798	84
1812	79
1826	70
1840	118
1854	95
1868	98
1882	125
1896	150
1910	185
1925	200
1939	228
1953	342
1967	483
1981	443
1995	351
2009	287
2023	186
2037	87
2051	61
2065	48
2079	27
2093	22
2107	18
2121	32
2135	27
2149	20
2163	38
2177	44
2191	47
2206	23
2220	44
2234	81
2248	109
2262	109
2276	144
2290	173
2304	223
2318	351
2332	538
2346	732
2360	1030
2374	884
2388	648
2402	520
2416	258
2430	115
2444	91
2458	70
2472	64
2486	133
2501	217
2515	377
2529	690
2543	1004
2557	1473
2571	2411
2585	2537
2599	3886
2613	6700
2627	9542
2641	12391
2655	13226
2669	10725
2683	7977
2697	4749
2711	2457
2725	1680
2739	788
2753	322
2767	141
2781	76
2796	46
2810	34
2824	30
2838	23
2852	32
2866	32
2880	21
2894	34
2908	34
2922	28
2936	55
2950	78
2964	91
2978	79
2992	91
3006	112
3020	141
3034	227
3048	197
3062	293
3076	272
3091	182
3105	110
3119	47
3133	56
3147	27
3161	32
3175	21
3189	18
3203	14
3217	24
3231	22
3245	24
3259	20
3273	22
3287	34
3301	76
3315	156
3329	361
3343	520
3357	709
3371	1069
3386	1461
3400	1694
3414	2412
3428	2821
3442	2924
3456	2666
3470	2080
3484	921
3498	541
3512	280
3526	150
3540	80
3554	67
3568	86
3582	129
3596	192
3610	277
3624	452
3638	748
3652	795
3667	1070
3681	1224
3695	2068
3709	2678
3723	3458
3737	3911
3751	3643
3765	2742
3779	1973
3793	1315
3807	670
3821	719
3835	264
3849	127
3863	50
3877	42
3891	24
3905	17
3919	5
3933	4
3947	18
3962	13
3976	10
3990	17
4004	15
4018	14
4032	18
4046	34
4060	31
4074	24
4088	90
4102	56
4116	80
4130	107
4144	83
4158	93
4172	113
4186	173
4200	180
4214	113
4228	73
4242	40
4257	26
4271	13
4285	13
4299	17
4313	22
4327	57
4341	92
4355	78
4369	122
4383	98
4397	228
4411	353
4425	582
4439	896
4453	2139
4467	2311
4481	2757
4495	2979
4509	3062
4523	2149
4537	1853
4552	1414
4566	779
4580	380
4594	185
4608	76
4622	49
4636	36
4650	38
4664	30
4678	15
4692	35
4706	43
4720	29
4734	40
4748	72
4762	104
4776	103
4790	139
4804	190
4818	244
4832	352
4847	340
4861	522
4875	650
4889	800
4903	754
4917	871
4931	694
4945	539
4959	293
4973	157
4987	101
5001	59
5015	37
5029	38
5043	53
5057	119
5071	129
5085	114
5099	256
5113	252
5128	717
5142	945
5156	1199
5170	2165
5184	2706
5198	3045
5212	3243
5226	3228
5240	3086
5254	2894
5268	2175
5282	1749
5296	875
