t	loglik
728	-550.6073
756	-571.6921
784	-598.4002
812	-620.3488
840	-648.5782
868	-681.0147
896	-688.6342
924	-733.6983
952	-749.3096
980	-763.1734
1008	-787.8157
1036	-799.624
1064	-820.6409
1092	-836.1146
1120	-869.675
1148	-891.7638
1176	-909.9855
1204	-935.4203
1232	-958.1564
1260	-976.5372
1288	-1004.6976
1316	-1036.0041
1344	-1045.7358
1372	-1067.4077
1400	-1076.7996
1428	-1103.7034
1456	-1123.2212
1484	-1152.9512
1512	-1168.6484
1540	-1196.0249
1568	-1228.584
1596	-1258.0607
1624	-1278.9243
1652	-1298.7813
1680	-1332.9897
1708	-1360.0479
1736	-1368.7414
1764	-1391.6068
1792	-1403.9804
1820	-1416.3193
1848	-1454.6474
1876	-1482.9567
1904	-1504.3052
1932	-1534.2208
1960	-1558.9174
1988	-1591.8847
2016	-1611.927
2044	-1640.6574
2072	-1653.9248
2100	-1659.4729
2128	-1683.4158
2156	-1695.1283
2184	-1706.0237
2212	-1722.2002
2240	-1750.4187
2268	-1754.6757
2296	-1775.4312
2324	-1806.2198
2352	-1824.2754
2380	-1849.2968
2408	-1881.8131
2436	-1898.0475
2464	-1910.6888
2492	-1937.9323
2520	-1964.8499
2548	-1991.9924
2576	-2031.7165
2604	-2053.2361
2632	-2080.7951
2660	-2117.294
2688	-2140.9085
2716	-2167.5553
2744	-2184.3776
2772	-2207.7837
2800	-2214.626
2828	-2245.9009
2856	-2249.0857
2884	-2280.9291
2912	-2287.3171
2940	-2311.3481
2968	-2333.273
2996	-2336.8218
3024	-2373.8128
3052	-2391.2224
3080	-2412.9499
3108	-2438.6764
3136	-2461.2998
3164	-2480.6533
3192	-2500.5131
3220	-2532.5239
3248	-2566.7943
3276	-2601.9143
3304	-2640.945
3332	-2651.3056
3360	-2682.7777
3388	-2712.3724
3416	-2737.3028
3444	-2769.3107
3472	-2784.3876
3500	-2795.3011
3528	-2820.2569
3556	-2833.8247
3584	-2846.5431
3612	-2861.2801
3640	-2867.7915
3668	-2888.434
3696	-2900.2928
3724	-2926.9928
3752	-2934.5314
3780	-2949.0755
3808	-2954.0568
3836	-2988.5813
3864	-3003.2484
3892	-3016.1525
3920	-3041.3861
3948	-3056.7616
3976	-3079.9078
4004	-3112.4305
4032	-3125.8524
4060	-3161.9693
4088	-3187.1117
4116	-3215.1795
4144	-3255.044
4172	-3290.0901
4200	-3317.8684
4228	-3330.6993
4256	-3349.8958
4284	-3364.0501
4312	-3380.4804
4340	-3385.3855
4368	-3424.7912
4396	-3427.0824
4424	-3425.9949
4452	-3450.0929
4480	-3468.9542
4508	-3492.9918
4536	-3507.524
4564	-3532.1163
4592	-3550.7851
4620	-3575.4355
4648	-3595.2411
4676	-3621.2591
4704	-3644.3461
4732	-3647.2105
4760	-3667.22
4788	-3709.4901
4816	-3728.5353
4844	-3756.8905
4872	-3785.5789
4900	-3811.6494
4928	-3842.2997
4956	-3861.604
4984	-3888.0287
5012	-3904.4794
5040	-3936.5834
5068	-3945.2858
5096	-3937.8281
5124	-3971.9309
5152	-3982.0931
5180	-3988.5763
5208	-4036.787
5236	-4056.8074
5264	-4080.7437
5292	-4099.9291
5320	-4120.1139
5348	-4141.2128
5376	-4171.8936
5404	-4179.1212
