t_issue	t_target	h_weeks	q05	q25	q50	q75	q95	mean	observed
728	735	1	40.95	55.0	67.0	78.25	100.04999999999998	67.795	88.0
728	742	2	37.95	50.75	63.0	76.0	95.0	64.95	86.0
728	749	3	36.900000000000006	52.0	62.0	82.25	112.04999999999998	67.075	109.0
728	756	4	36.900000000000006	52.75	68.0	86.0	118.04999999999998	71.635	100.0
728	763	5	35.95	57.0	77.5	104.0	157.14999999999995	83.49	221.0
728	770	6	41.0	63.0	84.5	117.5	185.19999999999993	95.265	237.0
728	777	7	39.95	62.75	88.0	132.25	234.44999999999985	105.44	353.0
728	784	8	39.900000000000006	69.0	102.5	148.25	289.19999999999993	123.375	389.0
756	763	1	80.0	98.0	115.0	137.0	175.14999999999995	119.475	221.0
756	770	2	76.0	100.75	125.0	155.25	210.49999999999983	132.82	237.0
756	777	3	77.75	109.0	138.5	181.0	247.24999999999991	149.86	353.0
756	784	4	76.0	126.0	159.5	208.5	306.04999999999995	173.165	389.0
756	791	5	81.9	126.75	176.0	241.25	367.15	193.365	372.0
756	798	6	79.0	134.75	189.5	270.0	394.1999999999996	210.72	557.0
756	805	7	87.85000000000001	151.5	203.5	286.0	458.19999999999993	230.79	430.0
756	812	8	97.85000000000001	156.5	218.5	316.25	517.05	254.045	597.0
784	791	1	290.9	360.0	417.5	480.75	576.6999999999998	427.6	372.0
784	798	2	305.95	383.75	452.0	555.0	718.0999999999999	473.14	557.0
784	805	3	311.95	406.75	472.0	592.0	842.6999999999998	515.035	430.0
784	812	4	311.20000000000005	419.75	517.5	666.75	919.1999999999996	555.9	597.0
784	819	5	320.55	426.75	581.5	741.75	1086.1999999999998	616.86	675.0
784	826	6	308.7	468.5	625.5	822.25	1212.6999999999998	672.22	736.0
784	833	7	325.8	449.25	669.0	887.5	1275.1499999999996	713.245	950.0
784	840	8	319.75	479.0	690.5	966.5	1472.7999999999997	762.28	935.0
812	819	1	436.9	546.5	617.5	722.25	893.0	638.555	675.0
812	826	2	440.85	517.75	660.5	792.5	1035.25	686.535	736.0
812	833	3	420.95	594.75	722.5	926.5	1262.8999999999996	774.85	950.0
812	840	4	415.65000000000003	600.0	762.5	944.5	1368.4999999999998	812.495	935.0
812	847	5	378.55	529.75	696.0	972.0	1430.6	777.27	1054.0
812	854	6	323.6	490.5	687.0	913.25	1329.35	733.075	1056.0
812	861	7	307.9	484.75	683.0	904.75	1403.05	746.33	928.0
812	868	8	321.95	481.25	699.0	984.25	1442.05	787.345	836.0
840	847	1	636.45	788.75	901.0	1018.75	1196.0	909.96	1054.0
840	854	2	575.9	710.25	815.5	965.5	1161.7999999999997	841.765	1056.0
