t	pop	S_q05	S_q25	S_q50	S_q75	S_q95	S_mean	E_q05	E_q25	E_q50	E_q75	E_q95	E_mean	I_q05	I_q25	I_q50	I_q75	I_q95	I_mean
728	2849743.110882952	177492.9	178761.5	178988.0	180158.0	181490.0	179229.447	132.95	178.0	215.0	269.0	369.04999999999995	228.167	150.0	180.0	204.0	230.0	274.04999999999995	206.8795
756	2888676.3347022184	178292.95	178875.25	180039.0	180920.75	181702.15	179974.8145	233.95	315.0	399.0	507.0	716.1499999999999	428.347	253.95	296.0	333.0	373.0	438.0	337.2575
784	2927609.558521569	175176.9	176075.5	176622.0	177090.0	177841.05	176564.389	915.0	1174.0	1466.0	1844.5	2629.3499999999995	1565.654	993.95	1122.0	1229.5	1350.25	1566.1499999999999	1245.0315
812	2966542.7823408665	170314.0	171972.0	172765.0	173553.0	174678.6	172681.903	1270.55	1729.75	2106.0	2628.0	3719.8499999999985	2266.941	1457.0	1635.0	1789.0	1964.25	2298.1	1819.734
840	3005476.006160133	164916.65	166447.0	167493.5	168343.25	170029.35	167424.9365	1766.9	2166.75	2525.5	3003.5	3868.0	2637.2225	2303.9	2548.0	2777.5	3024.0	3460.05	2811.7145
868	3044409.229979456	157804.9	159854.0	161165.0	162175.5	163731.0	160982.0005	1712.9	2226.75	2806.0	3498.0	4984.0	2984.4095	2170.95	2418.0	2638.5	2907.0	3380.05	2691.873
896	3083342.453798781	150580.0	152856.0	154156.0	155218.0	156618.05	153945.5305	2242.0	2937.75	3581.5	4343.25	6021.0	3764.5705	2689.0	3031.0	3281.5	3591.0	4132.349999999999	3332.671
924	3112297.0564660537	150903.95	152446.0	153392.0	154329.0	155549.8	153353.279	1201.0	1618.0	2003.5	2523.0	3410.1499999999996	2132.716	1682.0	1877.0	2046.0	2255.0	2604.1499999999996	2081.982
952	3123131.937029424	151612.9	152936.75	153675.0	154450.0	155933.25	153705.0585	470.95	607.0	716.5	851.0	1106.2499999999998	745.755	795.0	883.75	955.0	1034.25	1162.0	964.0005
980	3133539.2744695474	153015.6	154517.5	155491.0	156423.0	156703.0	155325.2195	124.0	167.0	205.0	251.0	342.04999999999995	215.386	243.0	271.0	296.0	324.0	370.0	299.5905
1008	3143946.6119096475	175052.8	177363.75	178190.0	178969.25	180491.0	178182.278	183.0	259.0	324.0	412.0	584.0	345.4485	202.0	241.0	272.0	308.0	365.04999999999995	276.031
