t	stream	y_obs	y_pred_q05	y_pred_q25	y_pred_q50	y_pred_q75	y_pred_q95	log_score	crps	pit	ess
7	joint	82	30.000000	36.750000	41.000000	47.000000	55.000000	-14.473119	36.003631	1.000000	19.69
7	weekly_cases	82	30.000000	36.750000	41.000000	47.000000	55.000000	-14.473119	36.003631	1.000000	19.69
14	joint	98	26.000000	33.000000	39.000000	45.000000	54.000000	-14.716754	53.904801	1.000000	1.01
14	weekly_cases	98	26.000000	33.000000	39.000000	45.000000	54.000000	-14.716754	53.904801	1.000000	1.01
21	joint	118	42.000000	50.000000	56.000000	63.000000	72.050000	-16.098152	56.104197	1.000000	3.33
21	weekly_cases	118	42.000000	50.000000	56.000000	63.000000	72.050000	-16.098152	56.104197	1.000000	3.33
28	joint	153	60.000000	78.000000	89.000000	100.000000	118.000000	-9.235653	54.135296	0.999000	36.20
28	weekly_cases	153	60.000000	78.000000	89.000000	100.000000	118.000000	-9.235653	54.135296	0.999000	36.20
35	joint	206	102.000000	129.000000	150.000000	172.000000	207.000000	-5.851075	38.178827	0.947000	544.14
35	weekly_cases	206	102.000000	129.000000	150.000000	172.000000	207.000000	-5.851075	38.178827	0.947000	544.14
42	joint	217	154.000000	189.000000	218.000000	248.000000	308.000000	-4.711754	10.538692	0.498000	1545.31
42	weekly_cases	217	154.000000	189.000000	218.000000	248.000000	308.000000	-4.711754	10.538692	0.498000	1545.31
49	joint	226	168.000000	207.750000	245.000000	287.000000	360.000000	-4.953074	16.195304	0.368500	1339.70
49	weekly_cases	226	168.000000	207.750000	245.000000	287.000000	360.000000	-4.953074	16.195304	0.368500	1339.70
56	joint	239	175.000000	217.000000	252.000000	293.250000	370.050000	-4.939358	14.536956	0.403000	1388.89
56	weekly_cases	239	175.000000	217.000000	252.000000	293.250000	370.050000	-4.939358	14.536956	0.403000	1388.89
63	joint	279	182.950000	228.000000	264.000000	305.000000	388.000000	-5.092196	15.217147	0.601000	1371.38
63	weekly_cases	279	182.950000	228.000000	264.000000	305.000000	388.000000	-5.092196	15.217147	0.601000	1371.38
70	joint	244	211.000000	265.000000	307.000000	358.000000	442.000000	-5.405648	39.057645	0.153000	981.37
70	weekly_cases	244	211.000000	265.000000	307.000000	358.000000	442.000000	-5.405648	39.057645	0.153000	981.37
77	joint	286	199.000000	243.000000	283.000000	326.000000	409.050000	-5.063895	14.591031	0.526000	1429.40
77	weekly_cases	286	199.000000	243.000000	283.000000	326.000000	409.050000	-5.063895	14.591031	0.526000	1429.40
84	joint	363	215.950000	267.000000	310.000000	359.000000	450.050000	-5.545170	31.240560	0.765500	1142.84
84	weekly_cases	363	215.950000	267.000000	310.000000	359.000000	450.050000	-5.545170	31.240560	0.765500	1142.84
91	joint	300	273.000000	335.000000	392.000000	454.000000	577.050000	-5.826336	57.281241	0.117000	839.87
