t_issue	t_target	h_weeks	observed	crps_twin	crps_persistence	crps_seasonal	in50	in90
728	735	1	88.0	12.976224999999998	19.0	152.0	0	1
728	742	2	86.0	13.4722	17.0	124.0	0	1
728	749	3	109.0	30.339525	40.0	181.0	0	1
728	756	4	100.0	19.308875	31.0	281.0	0	1
728	763	5	221.0	117.28244999999998	152.0	352.0	0	0
728	770	6	237.0	117.73822500000001	168.0	577.0	0	0
728	777	7	353.0	217.01215000000002	284.0	287.0	0	0
728	784	8	389.0	229.302025	320.0	588.0	0	0
756	763	1	221.0	85.36432500000001	121.0	352.0	0	0
756	770	2	237.0	81.3904	137.0	577.0	0	0
756	777	3	353.0	172.86765	253.0	287.0	0	0
756	784	4	389.0	177.88147500000002	289.0	588.0	0	0
756	791	5	372.0	135.461625	272.0	614.0	0	0
756	798	6	557.0	291.37265	457.0	515.0	0	0
756	805	7	430.0	149.45285	330.0	1068.0	0	1
756	812	8	597.0	278.856475	497.0	1004.0	0	0
784	791	1	372.0	30.575650000000003	17.0	614.0	1	1
784	798	2	557.0	60.20729999999999	168.0	515.0	0	1
784	805	3	430.0	41.994225	41.0	1068.0	1	1
784	812	4	597.0	55.28765	208.0	1004.0	1	1
784	819	5	675.0	70.76329999999999	286.0	977.0	1	1
784	826	6	736.0	81.71365	347.0	952.0	1	1
784	833	7	950.0	165.64027499999997	561.0	701.0	0	1
784	840	8	935.0	143.59414999999998	546.0	379.0	1	1
812	819	1	675.0	40.208074999999994	78.0	977.0	1	1
812	826	2	736.0	57.59307500000001	139.0	952.0	1	1
812	833	3	950.0	126.39195000000001	353.0	701.0	0	1
812	840	4	935.0	106.33372499999999	338.0	379.0	1	1
812	847	5	1054.0	198.5293	457.0	4.0	0	1
812	854	6	1056.0	222.32347499999997	459.0	241.0	0	1
812	861	7	928.0	148.27455	331.0	106.0	0	1
812	868	8	836.0	104.43662500000002	239.0	17.0	1	1
840	847	1	1054.0	91.3612	119.0	4.0	0	1
840	854	2	1056.0	141.250425	121.0	241.0	0	1
840	861	3	928.0	74.74074999999999	7.0	106.0	1	1
840	868	4	836.0	80.37409999999997	99.0	17.0	1	1
840	875	5	1034.0	108.525125	99.0	420.0	1	1
840	882	6	967.0	107.017	32.0	459.0	1	1
840	889	7	1073.0	120.73590000000002	138.0	601.0	1	1
840	896	8	1081.0	133.82684999999998	146.0	669.0	1	1
868	875	1	1034.0	77.484325	198.0	420.0	1	1
868	882	2	967.0	64.99640000000002	131.0	459.0	1	1
868	889	3	1073.0	89.03342500000002	237.0	601.0	1	1
868	896	4	1081.0	88.6251	245.0	669.0	1	1
868	903	5	977.0	94.61464999999998	141.0	635.0	1	1
868	910	6	866.0	136.96465	30.0	617.0	1	1
868	917	7	797.0	181.86375000000004	39.0	577.0	0	1
868	924	8	630.0	320.26962499999996	206.0	423.0	0	1
896	903	1	977.0	84.807325	104.0	635.0	0	1
896	910	2	866.0	165.41837500000003	215.0	617.0	0	1
896	917	3	797.0	238.564725	284.0	577.0	0	1
896	924	4	630.0	381.30550000000005	451.0	423.0	0	0
896	931	5	492.0	528.87865	589.0	339.0	0	0
896	938	6	478.0	535.9359	603.0	349.0	0	0
896	945	7	376.0	541.016225	705.0	263.0	0	0
896	952	8	350.0	428.17917499999993	731.0	289.0	0	0
924	931	1	492.0	129.661675	138.0	339.0	0	1
924	938	2	478.0	127.014075	152.0	349.0	0	1
924	945	3	376.0	173.67880000000002	254.0	263.0	0	0
924	952	4	350.0	137.6583	280.0	289.0	0	1
924	959	5	255.0	166.31865	375.0	189.0	0	0
924	966	6	161.0	190.861425	469.0	100.0	0	0
924	973	7	125.0	178.46727500000003	505.0	77.0	0	0
924	980	8	93.0	170.4078	537.0	57.0	0	0
952	959	1	255.0	27.692600000000002	95.0	189.0	0	1
952	966	2	161.0	68.4785	189.0	100.0	0	0
952	973	3	125.0	71.65582500000001	225.0	77.0	0	0
952	980	4	93.0	73.186375	257.0	57.0	0	0
952	987	5	78.0	64.35062500000001	272.0	32.0	0	0
952	994	6	82.0	43.507200000000005	268.0	31.0	0	0
952	1001	7	69.0	58.61872499999999	281.0	34.0	0	0
952	1008	8	91.0	46.604375	259.0	58.0	0	1
980	987	1	78.0	7.451924999999999	15.0	32.0	0	1
980	994	2	82.0	4.7284500000000005	11.0	31.0	1	1
980	1001	3	69.0	9.089399999999998	24.0	34.0	1	1
980	1008	4	91.0	7.635400000000001	2.0	58.0	1	1
980	1015	5	72.0	16.478125000000002	21.0	24.0	0	1
980	1022	6	116.0	12.360500000000002	23.0	76.0	1	1
980	1029	7	105.0	13.299700000000001	12.0	58.0	1	1
980	1036	8	119.0	15.209975	26.0	87.0	1	1
1008	1015	1	72.0	11.759224999999999	19.0	24.0	0	1
1008	1022	2	116.0	11.475275	25.0	76.0	1	1
1008	1029	3	105.0	9.276049999999998	14.0	58.0	1	1
1008	1036	4	119.0	10.687999999999999	28.0	87.0	1	1
1008	1043	5	157.0	20.08685	66.0	134.0	1	1
1008	1050	6	141.0	15.933100000000003	50.0	106.0	1	1
1008	1057	7	215.0	48.969825	124.0	173.0	0	1
1008	1064	8	221.0	45.737075000000004	130.0	178.0	0	1
1036	1043	1	157.0	24.6071	38.0	134.0	0	1
