alcohol,target,cutoff,n,n_disease,auroc,sens,sens_lo,sens_hi,spec,spec_lo,spec_hi,ppv,npv
none,≥F2 (LSM≥8),1.3,1996,228,0.575,39.6,27.6,53.0,65.5,61.1,69.7,12.6,89.7
none,≥F2 (LSM≥8),2.67,1996,228,0.575,9.5,6.6,13.4,97.5,96.8,98.1,32.4,89.6
none,≥F2 (LSM≥8),3.25,1996,228,0.575,4.4,2.5,7.6,99.0,98.3,99.4,34.9,89.2
none,≥F3 (LSM≥10),1.3,1996,117,0.567,37.2,24.6,51.8,65.1,60.9,69.0,6.2,94.3
none,≥F3 (LSM≥10),2.67,1996,117,0.567,14.7,9.3,22.4,97.5,96.7,98.1,26.5,94.8
none,≥F3 (LSM≥10),3.25,1996,117,0.567,5.9,3.0,11.1,98.9,98.3,99.3,24.7,94.4
none,F4 (LSM≥15),1.3,1996,47,0.682,61.1,27.6,86.7,65.5,61.5,69.2,3.5,98.8
none,F4 (LSM≥15),2.67,1996,47,0.682,24.6,13.2,41.3,97.2,96.5,97.7,15.1,98.4
none,F4 (LSM≥15),3.25,1996,47,0.682,10.1,4.3,21.9,98.8,98.2,99.2,14.3,98.2
moderate,≥F2 (LSM≥8),1.3,4453,416,0.561,27.0,22.0,32.8,81.4,78.6,84.0,11.8,92.4
moderate,≥F2 (LSM≥8),2.67,4453,416,0.561,5.1,3.2,8.2,99.0,98.6,99.3,33.0,91.9
moderate,≥F2 (LSM≥8),3.25,4453,416,0.561,2.6,1.1,5.6,99.7,99.5,99.8,43.2,91.7
moderate,≥F3 (LSM≥10),1.3,4453,233,0.614,35.6,26.9,45.3,81.5,78.7,84.0,8.4,96.4
moderate,≥F3 (LSM≥10),2.67,4453,233,0.614,7.4,4.2,12.6,99.0,98.6,99.3,25.7,95.7
moderate,≥F3 (LSM≥10),3.25,4453,233,0.614,4.3,1.8,9.9,99.7,99.5,99.8,39.2,95.6
moderate,F4 (LSM≥15),1.3,4453,84,0.656,43.6,30.1,58.1,81.1,78.3,83.6,3.8,98.8
moderate,F4 (LSM≥15),2.67,4453,84,0.656,7.8,3.9,15.0,98.8,98.4,99.1,10.0,98.4
moderate,F4 (LSM≥15),3.25,4453,84,0.656,5.6,2.4,12.4,99.6,99.3,99.8,18.8,98.4
heavy,≥F2 (LSM≥8),1.3,413,47,0.839,76.3,62.5,86.1,74.8,65.8,82.1,25.0,96.6
heavy,≥F2 (LSM≥8),2.67,413,47,0.839,38.1,21.8,57.7,97.6,94.5,99.0,63.9,93.5
heavy,≥F2 (LSM≥8),3.25,413,47,0.839,32.6,18.0,51.6,98.9,96.2,99.7,76.9,93.0
heavy,≥F3 (LSM≥10),1.3,413,20,0.917,90.4,60.1,98.3,73.7,64.9,81.0,18.5,99.1
heavy,≥F3 (LSM≥10),2.67,413,20,0.917,43.4,22.7,66.7,96.6,93.0,98.3,45.3,96.3
heavy,≥F3 (LSM≥10),3.25,413,20,0.917,38.2,20.0,60.4,98.0,94.9,99.3,56.2,96.0
heavy,F4 (LSM≥15),1.3,413,12,0.884,,,,71.7,62.2,79.5,8.9,99.8
heavy,F4 (LSM≥15),2.67,413,12,0.884,,,,94.6,90.4,97.1,11.8,97.7
heavy,F4 (LSM≥15),3.25,413,12,0.884,,,,96.4,92.6,98.3,16.6,97.8
