chain	draw	a0	beta	d_home	h0	i0	d_school
0	2000	1.1445	1.4925	3.9677	6.6592	8.253	1.0
0	2005	2.3495	2.2033	2.3324	6.4444	6.5872	1.0
0	2010	2.5019	0.8182	1.5751	7.3866	3.7682	1.0
0	2015	2.5019	0.2873	3.3269	5.1388	5.0771	1.0
0	2020	3.4221	1.1899	3.0045	10.5161	7.9369	1.0
0	2025	2.8964	1.0605	2.1322	7.6224	10.8785	1.0
0	2030	2.9206	2.4505	2.9037	5.0814	11.7766	1.0
0	2035	0.8309	1.1118	2.285	8.8864	9.3783	1.0
0	2040	2.0177	0.4909	2.8952	9.0713	11.1253	1.0
0	2045	2.8157	0.317	3.8395	5.4973	9.6704	1.0
0	2050	1.5359	1.2596	2.6921	11.0901	9.6704	1.0
0	2055	1.0946	1.2116	2.8617	9.6005	8.3105	1.0
0	2060	1.3892	0.8514	2.6231	11.5141	4.0185	1.0
0	2065	1.3892	1.3457	3.6988	11.5141	10.3012	1.0
0	2070	1.1322	2.3232	2.7426	4.769	2.4196	1.0
0	2075	1.2873	2.3232	2.9938	5.1796	6.23	1.0
0	2080	1.2067	1.2539	3.7395	6.789	11.7072	1.0
0	2085	1.4203	0.7312	4.3944	9.1786	11.8092	1.0
0	2090	2.5851	1.7817	2.866	3.8449	11.8092	1.0
0	2095	1.5227	0.7447	4.0708	4.6958	10.3752	1.0
0	2100	0.8863	1.2748	3.3174	1.5927	10.2007	1.0
0	2105	1.3814	0.9032	3.8868	11.6097	10.2007	1.0
0	2110	1.9144	1.3221	3.3373	5.0289	2.5414	1.0
0	2115	2.0258	0.4624	2.8528	6.5287	10.9266	1.0
0	2120	2.4102	0.8683	2.8923	1.3268	5.4011	1.0
0	2125	0.9195	2.8447	2.4338	9.5215	5.9126	1.0
0	2130	0.8288	6.076	2.7854	4.2773	1.3045	1.0
0	2135	1.4719	3.9044	2.0524	10.6719	2.2655	1.0
0	2140	1.7318	2.8411	2.9031	11.1653	4.2255	1.0
0	2145	1.8169	2.6282	2.6531	4.2619	1.7143	1.0
0	2150	2.7857	2.403	3.3439	1.048	5.183	1.0
0	2155	2.6235	2.1154	2.1454	3.8247	6.3823	1.0
0	2160	0.754	2.3972	2.8533	1.5618	11.0699	1.0
0	2165	3.0222	2.0076	2.6286	0.9372	7.9009	1.0
0	2170	3.3977	2.878	2.0569	0.3106	1.507	1.0
0	2175	1.7157	3.4452	2.6571	3.6054	1.4226	1.0
0	2180	0.7017	5.364	2.9948	3.8384	6.0674	1.0
0	2185	1.0349	4.3003	3.8133	6.4153	7.7501	1.0
0	2190	3.0144	6.9028	2.1625	5.1061	6.1129	1.0
0	2195	3.4727	6.7958	1.7071	2.7958	5.4351	1.0
0	2200	2.2142	7.2787	1.8083	8.557	10.0145	1.0
0	2205	2.2226	9.8313	2.3337	11.7271	10.1974	1.0
0	2210	2.0916	6.8628	2.5246	11.0915	1.346	1.0
0	2215	2.5196	5.5143	2.2155	9.0468	1.1578	1.0
0	2220	2.1728	6.696	1.9753	0.5527	0.2772	1.0
0	2225	0.8281	7.0438	1.776	0.2413	1.5489	1.0
0	2230	1.3603	8.1866	2.4927	0.4049	6.824	1.0
0	2235	1.3603	7.4287	2.7884	2.7472	7.0715	1.0
0	2240	1.1719	7.4287	2.2173	3.2541	1.0546	1.0
0	2245	1.2181	8.2766	3.0569	4.6162	4.5294	1.0
0	2250	1.0662	6.7814	2.2669	7.0457	6.4739	1.0
0	2255	1.598	7.75	2.913	4.6489	11.3879	1.0
0	2260	2.22	2.9293	2.3095	3.998	11.3879	1.0
0	2265	0.9533	4.3932	2.638	6.3788	11.4015	1.0
0	2270	1.7619	4.3932	3.0868	1.3298	5.6405	1.0
0	2275	1.4885	5.9475	4.4234	0.9677	0.7776	1.0
0	2280	2.16	7.3373	3.2572	4.0068	6.3718	1.0
0	2285	1.5277	6.1318	2.9064	1.9958	11.0044	1.0
0	2290	1.2455	4.0549	3.055	5.1647	11.0044	1.0
0	2295	0.7458	2.5908	3.3233	9.5541	7.2424	1.0
0	2300	0.8203	1.228	3.3494	6.947	11.7036	1.0
0	2305	1.5078	1.7968	2.5552	3.12	10.0574	1.0
0	2310	3.5176	1.7482	2.9251	1.0274	11.2468	1.0
0	2315	2.4769	2.239	2.4595	1.2608	2.2852	1.0
0	2320	2.3973	1.5331	3.0502	0.6692	3.3756	1.0
0	2325	3.2252	0.8854	3.066	8.3758	9.8378	1.0
0	2330	1.8671	2.3877	2.9183	8.9629	6.2081	1.0
0	2335	2.0365	1.213	3.965	6.9556	4.007	1.0
0	2340	1.9041	1.1794	2.6409	6.1457	5.7513	1.0
0	2345	1.6946	1.4957	4.1771	11.6655	4.2225	1.0
0	2350	1.268	5.406	2.8281	7.1427	2.9297	1.0
0	2355	3.5129	3.5487	1.9275	11.275	4.2869	1.0
