# 0.1.0+e44f04a (2026-09-09)
replicate	draw	t	t_start	t_stop	S	I	H	R	flow_infection	flow_sick	flow_recover
1	1	1	1	1	13	8	7	0	0	0	0
1	1	2	1	2	7	2	16	3	6	12	3
1	1	3	2	3	6	0	16	6	1	3	3
1	1	4	3	4	6	0	12	10	0	0	4
1	1	5	4	5	6	0	9	13	0	0	3
1	1	6	5	6	6	0	8	14	0	0	1
1	1	7	6	7	6	0	7	15	0	0	1
1	1	8	7	8	6	0	5	17	0	0	2
1	1	9	8	9	6	0	2	20	0	0	3
1	1	10	9	10	6	0	1	21	0	0	1
1	1	11	10	11	6	0	1	21	0	0	0
1	1	12	11	12	6	0	1	21	0	0	0
1	1	13	12	13	6	0	0	22	0	0	1
1	1	14	13	14	6	0	0	22	0	0	0
1	1	15	14	15	6	0	0	22	0	0	0
2	2	1	1	1	16	10	2	0	0	0	0
2	2	2	1	2	14	2	11	1	2	10	1
2	2	3	2	3	14	2	9	3	0	0	2
2	2	4	3	4	14	0	7	7	0	2	4
2	2	5	4	5	14	0	6	8	0	0	1
2	2	6	5	6	14	0	4	10	0	0	2
2	2	7	6	7	14	0	4	10	0	0	0
2	2	8	7	8	14	0	1	13	0	0	3
2	2	9	8	9	14	0	0	14	0	0	1
2	2	10	9	10	14	0	0	14	0	0	0
2	2	11	10	11	14	0	0	14	0	0	0
2	2	12	11	12	14	0	0	14	0	0	0
2	2	13	12	13	14	0	0	14	0	0	0
2	2	14	13	14	14	0	0	14	0	0	0
2	2	15	14	15	14	0	0	14	0	0	0
3	3	1	1	1	9	10	9	0	0	0	0
3	3	2	1	2	1	10	9	8	8	8	8
3	3	3	2	3	0	7	8	13	1	4	5
3	3	4	3	4	0	2	5	21	0	5	8
3	3	5	4	5	0	0	6	22	0	2	1
3	3	6	5	6	0	0	3	25	0	0	3
3	3	7	6	7	0	0	1	27	0	0	2
3	3	8	7	8	0	0	1	27	0	0	0
3	3	9	8	9	0	0	1	27	0	0	0
3	3	10	9	10	0	0	1	27	0	0	0
3	3	11	10	11	0	0	0	28	0	0	1
3	3	12	11	12	0	0	0	28	0	0	0
3	3	13	12	13	0	0	0	28	0	0	0
3	3	14	13	14	0	0	0	28	0	0	0
3	3	15	14	15	0	0	0	28	0	0	0
4	4	1	1	1	9	12	7	0	0	0	0
4	4	2	1	2	5	5	12	6	4	11	6
4	4	3	2	3	2	6	9	11	3	2	5
4	4	4	3	4	2	4	7	15	0	2	4
4	4	5	4	5	2	0	10	16	0	4	1
4	4	6	5	6	2	0	6	20	0	0	4
4	4	7	6	7	2	0	6	20	0	0	0
4	4	8	7	8	2	0	5	21	0	0	1
4	4	9	8	9	2	0	3	23	0	0	2
4	4	10	9	10	2	0	3	23	0	0	0
4	4	11	10	11	2	0	2	24	0	0	1
4	4	12	11	12	2	0	1	25	0	0	1
4	4	13	12	13	2	0	1	25	0	0	0
4	4	14	13	14	2	0	0	26	0	0	1
4	4	15	14	15	2	0	0	26	0	0	0
5	5	1	1	1	8	9	11	0	0	0	0
5	5	2	1	2	4	9	11	4	4	4	4
5	5	3	2	3	3	5	13	7	1	5	3
5	5	4	3	4	2	2	13	11	1	4	4
5	5	5	4	5	2	0	11	15	0	2	4
5	5	6	5	6	2	0	9	17	0	0	2
5	5	7	6	7	2	0	7	19	0	0	2
5	5	8	7	8	2	0	5	21	0	0	2
5	5	9	8	9	2	0	3	23	0	0	2
5	5	10	9	10	2	0	2	24	0	0	1
5	5	11	10	11	2	0	1	25	0	0	1
5	5	12	11	12	2	0	0	26	0	0	1
5	5	13	12	13	2	0	0	26	0	0	0
5	5	14	13	14	2	0	0	26	0	0	0
5	5	15	14	15	2	0	0	26	0	0	0
6	6	1	1	1	23	2	4	0	0	0	0
6	6	2	1	2	22	2	2	3	1	1	3
6	6	3	2	3	18	4	2	5	4	2	2
6	6	4	3	4	12	7	5	5	6	3	0
6	6	5	4	5	9	6	7	7	3	4	2
6	6	6	5	6	7	2	8	12	2	6	5
6	6	7	6	7	7	0	7	15	0	2	3
6	6	8	7	8	7	0	4	18	0	0	3
6	6	9	8	9	7	0	1	21	0	0	3
6	6	10	9	10	7	0	1	21	0	0	0
6	6	11	10	11	7	0	0	22	0	0	1
6	6	12	11	12	7	0	0	22	0	0	0
6	6	13	12	13	7	0	0	22	0	0	0
6	6	14	13	14	7	0	0	22	0	0	0
6	6	15	14	15	7	0	0	22	0	0	0
7	7	1	1	1	23	3	2	0	0	0	0
7	7	2	1	2	20	4	3	1	3	2	1
7	7	3	2	3	16	5	4	3	4	3	2
7	7	4	3	4	15	2	8	3	1	4	0
7	7	5	4	5	15	2	6	5	0	0	2
7	7	6	5	6	15	0	4	9	0	2	4
7	7	7	6	7	15	0	4	9	0	0	0
7	7	8	7	8	15	0	3	10	0	0	1
7	7	9	8	9	15	0	2	11	0	0	1
7	7	10	9	10	15	0	2	11	0	0	0
7	7	11	10	11	15	0	1	12	0	0	1
7	7	12	11	12	15	0	1	12	0	0	0
7	7	13	12	13	15	0	1	12	0	0	0
7	7	14	13	14	15	0	1	12	0	0	0
7	7	15	14	15	15	0	1	12	0	0	0
8	8	1	1	1	11	12	5	0	0	0	0
8	8	2	1	2	10	3	14	1	1	10	1
8	8	3	2	3	9	2	14	3	1	2	2
8	8	4	3	4	9	1	13	5	0	1	2
8	8	5	4	5	9	0	10	9	0	1	4
8	8	6	5	6	9	0	7	12	0	0	3
8	8	7	6	7	9	0	4	15	0	0	3
8	8	8	7	8	9	0	2	17	0	0	2
8	8	9	8	9	9	0	2	17	0	0	0
8	8	10	9	10	9	0	2	17	0	0	0
8	8	11	10	11	9	0	2	17	0	0	0
8	8	12	11	12	9	0	2	17	0	0	0
8	8	13	12	13	9	0	2	17	0	0	0
8	8	14	13	14	9	0	2	17	0	0	0
8	8	15	14	15	9	0	1	18	0	0	1
9	9	1	1	1	15	7	6	0	0	0	0
9	9	2	1	2	6	11	8	3	9	5	3
9	9	3	2	3	4	5	13	6	2	8	3
9	9	4	3	4	3	1	15	9	1	5	3
9	9	5	4	5	2	2	10	14	1	0	5
9	9	6	5	6	0	1	11	16	2	3	2
9	9	7	6	7	0	1	8	19	0	0	3
