scenario	time	horizon	treatment	fit_rhat_max	fit_ess_min	rhat_mean	ess_mean	rhat_pred	ess_pred	n_draws	q05	q25	q50	q75	q95
fitted	1	free_forward	posterior	1.0072	854.9	0.9995	346.6	0.9979	326.3	400	2	4	7	10	16
fitted	2	free_forward	posterior	1.0072	854.9	0.9986	424.1	0.9968	376.5	400	3	6	9	13	18
fitted	3	free_forward	posterior	1.0072	854.9	0.9988	404.8	0.9981	393.4	400	4	8	12	16	21
fitted	4	free_forward	posterior	1.0072	854.9	1.0004	387.6	0.9996	444.7	400	4	9	13	16.25	22
fitted	5	free_forward	posterior	1.0072	854.9	1.0027	453.2	1.0024	480.5	400	4	9	13	16	22.05
fitted	6	free_forward	posterior	1.0072	854.9	1.0002	421.7	1.0051	385.2	400	3	7	10	13	19.05
fitted	7	free_forward	posterior	1.0072	854.9	1.0037	413.1	1.0064	381.2	400	2	5	8	12	17
fitted	8	free_forward	posterior	1.0072	854.9	0.9993	404.3	1.0014	388.0	400	1	3.75	6	10	15.05
fitted	9	free_forward	posterior	1.0072	854.9	1.0018	396.1	1.0064	391.3	400	1	3	5	8	13
fitted	10	free_forward	posterior	1.0072	854.9	1.0077	434.0	0.9983	429.9	400	0.95	2	4	6	11
fitted	11	free_forward	posterior	1.0072	854.9	0.9993	469.9	0.9979	409.0	400	0	2	3	6	9
fitted	12	free_forward	posterior	1.0072	854.9	0.9988	440.2	0.9960	396.6	400	0	1	3	4	8
fitted	13	free_forward	posterior	1.0072	854.9	0.9975	469.5	0.9969	445.1	400	0	1	2	4	7
fitted	14	free_forward	posterior	1.0072	854.9	0.9999	462.4	1.0062	420.2	400	0	1	2	4	6.05
fitted	15	free_forward	posterior	1.0072	854.9	1.0014	437.8	0.9976	380.8	400	0	1	2	4	6
fitted	1	one_step	posterior	1.0072	854.9					400	1	4	7	11	16
fitted	2	one_step	posterior	1.0072	854.9					400	3	6	9	13	19
fitted	3	one_step	posterior	1.0072	854.9					400	4	9	12	16	22
fitted	4	one_step	posterior	1.0072	854.9					400	5	10	13	17	23
fitted	5	one_step	posterior	1.0072	854.9					400	5	9	12	16	21
fitted	6	one_step	posterior	1.0072	854.9					400	4	7	10	13	18
fitted	7	one_step	posterior	1.0072	854.9					400	2	5	8	11	16
fitted	8	one_step	posterior	1.0072	854.9					400	2	4	6	9	14
fitted	9	one_step	posterior	1.0072	854.9					400	1	3	5	7	10
fitted	10	one_step	posterior	1.0072	854.9					400	1	2	4	5	8
fitted	11	one_step	posterior	1.0072	854.9					400	0	2	3	4	7
