time	daily_cases
0	0
1	7
2	10
3	10
4	20
5	17
6	12
7	34
8	39
9	63
10	69
11	105
12	176
13	194
14	190
15	277
16	356
17	421
18	446
19	587
20	371
21	650
22	638
23	756
24	932
25	811
26	673
27	651
28	583
29	421
30	572
31	377
32	388
33	317
34	300
35	347
36	236
37	231
38	181
39	219
40	240
41	201
42	184
43	257
44	231
45	157
46	208
47	105
48	193
49	212
50	132
51	213
52	170
53	180
54	189
55	147
56	111
57	177
58	180
59	168
60	133
61	105
62	130
63	106
64	135
65	123
66	90
67	97
68	145
69	95
70	150
71	135
72	82
73	126
74	131
75	140
76	93
77	146
78	84
79	105
80	94
81	98
82	74
83	73
84	125
85	141
86	101
87	132
88	72
89	74
90	95
91	107
92	91
93	106
94	95
95	79
96	65
97	108
98	73
99	67
100	86
101	79
102	73
103	73
104	62
105	74
106	72
107	93
108	77
109	71
110	88
111	88
112	62
113	88
114	66
115	73
116	62
117	88
118	78
119	58
120	87
