time	policy
0	0.000000
1	0.000000
2	0.000000
3	0.000000
4	0.000000
5	0.000000
6	0.000000
7	0.000000
8	0.000000
9	0.000000
10	0.000000
11	0.000000
12	0.000000
13	0.000000
14	0.000000
15	0.000000
16	0.000000
17	0.000000
18	0.000000
19	0.000000
20	0.000000
21	0.000000
22	0.000000
23	0.000000
24	0.000000
25	0.255000
26	0.433500
27	0.558450
28	0.645915
29	0.707140
30	0.749998
31	0.779999
32	0.800999
33	0.815699
34	0.825990
35	0.833193
36	0.838235
37	0.841764
38	0.844235
39	0.845965
40	0.847175
41	0.848023
42	0.848616
43	0.849031
44	0.849322
45	0.849525
46	0.849668
47	0.849767
48	0.849837
49	0.849886
50	0.849920
51	0.849944
52	0.849961
53	0.849973
54	0.849981
55	0.849987
56	0.849991
57	0.849993
58	0.849995
59	0.849997
60	0.849998
61	0.849998
62	0.849999
63	0.849999
64	0.849999
65	0.850000
66	0.850000
67	0.850000
68	0.850000
69	0.850000
70	0.850000
71	0.850000
72	0.850000
73	0.850000
74	0.850000
75	0.850000
76	0.850000
77	0.850000
78	0.850000
79	0.850000
80	0.850000
81	0.850000
82	0.850000
83	0.850000
84	0.850000
85	0.850000
86	0.850000
87	0.850000
88	0.850000
89	0.850000
90	0.850000
91	0.850000
92	0.850000
93	0.850000
94	0.850000
95	0.850000
96	0.850000
97	0.850000
98	0.850000
99	0.850000
100	0.850000
101	0.850000
102	0.850000
103	0.850000
104	0.850000
105	0.850000
106	0.850000
107	0.850000
108	0.850000
109	0.850000
110	0.850000
111	0.850000
112	0.850000
113	0.850000
114	0.850000
115	0.850000
116	0.850000
117	0.850000
118	0.850000
119	0.850000
120	0.850000
