,category,Seattle residents (workers living in Seattle),Workers in Seattle (jobs located in Seattle),King Co. residents (workers),Workers in King Co.
C000,All workers,392955,656821,1145256,1503962
CA01,≤29,93521,130760,242436,306254
CA02,30–54,230939,395350,667757,884222
CA03,≥55,68495,130711,235063,313486
CE01,≤$1.25k/mo,39641,65555,126613,160526
CE02,$1.25–3.33k/mo,49000,83046,167419,219774
CE03,>$3.33k/mo,304314,508220,851224,1123662
CS01,Male,207042,341292,605090,802366
CS02,Female,185913,315529,540166,701596
CR01,White alone,269582,441499,741557,1020528
CR02,Black alone,28272,46826,83998,102798
CR03,AIAN alone,2761,5308,9156,13203
CR04,Asian alone,73680,130457,255406,292417
CR05,NHPI alone,1377,3961,7973,11245
CR07,Two+ races,17283,28770,47166,63771
CT01,Not Hispanic,359575,597103,1036248,1356991
CT02,Hispanic,33380,59718,109008,146971
CD01,Less than HS,31422,54797,99615,129710
CD02,HS or equiv.,60930,105186,186172,248343
CD03,Some college / AA,84815,147226,255050,341352
CD04,Bachelor's or higher,122267,218852,361983,478303
CNS01,Agriculture/Forestry,1083,1142,3852,2482
CNS02,Mining,48,93,240,299
CNS03,Utilities,1610,3768,4408,6418
CNS04,Construction,11642,24310,50080,76324
CNS05,Manufacturing,16428,24561,68540,90425
CNS06,Wholesale Trade,12211,21495,43983,64620
CNS07,Retail Trade,23893,35694,85932,112046
CNS08,Transportation/Warehousing,14966,29563,57483,83148
CNS09,Information,44312,57179,127017,163073
CNS10,Finance/Insurance,13561,21808,34492,44143
CNS11,Real Estate,8913,14672,23310,31809
CNS12,Professional/Scientific,52528,91019,122799,161577
CNS13,Management,27621,59069,64421,88554
CNS14,Admin/Waste mgmt,20511,26932,61539,77065
CNS15,Educational Services,32387,48451,83917,103676
CNS16,Health Care & Social Assistance,48515,87955,140500,178188
CNS17,Arts/Entertainment,8818,15120,23225,28873
CNS18,Accommodation/Food Services,29884,47019,82783,103903
CNS19,Other Services,13824,25611,35947,47351
CNS20,Public Administration,10200,21360,30788,39988
