,category,workers,share_pct
C000,All workers,656821,100.0
CA01,≤29,130760,19.9
CA02,30–54,395350,60.2
CA03,≥55,130711,19.9
CE01,≤$1.25k/mo,65555,10.0
CE02,$1.25–3.33k/mo,83046,12.6
CE03,>$3.33k/mo,508220,77.4
CS01,Male,341292,52.0
CS02,Female,315529,48.0
CR01,White alone,441499,67.2
CR02,Black alone,46826,7.1
CR03,AIAN alone,5308,0.8
CR04,Asian alone,130457,19.9
CR05,NHPI alone,3961,0.6
CR07,Two+ races,28770,4.4
CT01,Not Hispanic,597103,90.9
CT02,Hispanic,59718,9.1
CD01,Less than HS,54797,8.3
CD02,HS or equiv.,105186,16.0
CD03,Some college / AA,147226,22.4
CD04,Bachelor's or higher,218852,33.3
CNS01,Agriculture/Forestry,1142,0.2
CNS02,Mining,93,0.0
CNS03,Utilities,3768,0.6
CNS04,Construction,24310,3.7
CNS05,Manufacturing,24561,3.7
CNS06,Wholesale Trade,21495,3.3
CNS07,Retail Trade,35694,5.4
CNS08,Transportation/Warehousing,29563,4.5
CNS09,Information,57179,8.7
CNS10,Finance/Insurance,21808,3.3
CNS11,Real Estate,14672,2.2
CNS12,Professional/Scientific,91019,13.9
CNS13,Management,59069,9.0
CNS14,Admin/Waste mgmt,26932,4.1
CNS15,Educational Services,48451,7.4
CNS16,Health Care & Social Assistance,87955,13.4
CNS17,Arts/Entertainment,15120,2.3
CNS18,Accommodation/Food Services,47019,7.2
CNS19,Other Services,25611,3.9
CNS20,Public Administration,21360,3.3
