,category,workers,share_pct
C000,All workers,1503962,100.0
CA01,≤29,306254,20.4
CA02,30–54,884222,58.8
CA03,≥55,313486,20.8
CE01,≤$1.25k/mo,160526,10.7
CE02,$1.25–3.33k/mo,219774,14.6
CE03,>$3.33k/mo,1123662,74.7
CS01,Male,802366,53.4
CS02,Female,701596,46.6
CR01,White alone,1020528,67.9
CR02,Black alone,102798,6.8
CR03,AIAN alone,13203,0.9
CR04,Asian alone,292417,19.4
CR05,NHPI alone,11245,0.7
CR07,Two+ races,63771,4.2
CT01,Not Hispanic,1356991,90.2
CT02,Hispanic,146971,9.8
CD01,Less than HS,129710,8.6
CD02,HS or equiv.,248343,16.5
CD03,Some college / AA,341352,22.7
CD04,Bachelor's or higher,478303,31.8
CNS01,Agriculture/Forestry,2482,0.2
CNS02,Mining,299,0.0
CNS03,Utilities,6418,0.4
CNS04,Construction,76324,5.1
CNS05,Manufacturing,90425,6.0
CNS06,Wholesale Trade,64620,4.3
CNS07,Retail Trade,112046,7.5
CNS08,Transportation/Warehousing,83148,5.5
CNS09,Information,163073,10.8
CNS10,Finance/Insurance,44143,2.9
CNS11,Real Estate,31809,2.1
CNS12,Professional/Scientific,161577,10.7
CNS13,Management,88554,5.9
CNS14,Admin/Waste mgmt,77065,5.1
CNS15,Educational Services,103676,6.9
CNS16,Health Care & Social Assistance,178188,11.8
CNS17,Arts/Entertainment,28873,1.9
CNS18,Accommodation/Food Services,103903,6.9
CNS19,Other Services,47351,3.1
CNS20,Public Administration,39988,2.7
