industry,home_origin,demographic,label,share_pct
Health Care & Social Assistance (CNS16 / NAICS 62),King Co. (outside Seattle),CA01,≤29,17.1
Health Care & Social Assistance (CNS16 / NAICS 62),Out of state,CA01,≤29,17.6
Health Care & Social Assistance (CNS16 / NAICS 62),Seattle,CA01,≤29,17.7
Health Care & Social Assistance (CNS16 / NAICS 62),WA (outside King Co.),CA01,≤29,17.7
Health Care & Social Assistance (CNS16 / NAICS 62),King Co. (outside Seattle),CA02,30–54,58.6
Health Care & Social Assistance (CNS16 / NAICS 62),Out of state,CA02,30–54,58.5
Health Care & Social Assistance (CNS16 / NAICS 62),Seattle,CA02,30–54,58.5
Health Care & Social Assistance (CNS16 / NAICS 62),WA (outside King Co.),CA02,30–54,58.1
Health Care & Social Assistance (CNS16 / NAICS 62),King Co. (outside Seattle),CA03,≥55,24.3
Health Care & Social Assistance (CNS16 / NAICS 62),Out of state,CA03,≥55,23.9
Health Care & Social Assistance (CNS16 / NAICS 62),Seattle,CA03,≥55,23.8
Health Care & Social Assistance (CNS16 / NAICS 62),WA (outside King Co.),CA03,≥55,24.2
Health Care & Social Assistance (CNS16 / NAICS 62),King Co. (outside Seattle),CE01,≤$1.25k/mo,10.1
Health Care & Social Assistance (CNS16 / NAICS 62),Out of state,CE01,≤$1.25k/mo,10.7
Health Care & Social Assistance (CNS16 / NAICS 62),Seattle,CE01,≤$1.25k/mo,10.7
Health Care & Social Assistance (CNS16 / NAICS 62),WA (outside King Co.),CE01,≤$1.25k/mo,10.8
Health Care & Social Assistance (CNS16 / NAICS 62),King Co. (outside Seattle),CE02,$1.25–3.33k/mo,14.3
Health Care & Social Assistance (CNS16 / NAICS 62),Out of state,CE02,$1.25–3.33k/mo,14.8
Health Care & Social Assistance (CNS16 / NAICS 62),Seattle,CE02,$1.25–3.33k/mo,14.8
Health Care & Social Assistance (CNS16 / NAICS 62),WA (outside King Co.),CE02,$1.25–3.33k/mo,15.3
Health Care & Social Assistance (CNS16 / NAICS 62),King Co. (outside Seattle),CE03,>$3.33k/mo,75.5
Health Care & Social Assistance (CNS16 / NAICS 62),Out of state,CE03,>$3.33k/mo,74.5
Health Care & Social Assistance (CNS16 / NAICS 62),Seattle,CE03,>$3.33k/mo,74.5
Health Care & Social Assistance (CNS16 / NAICS 62),WA (outside King Co.),CE03,>$3.33k/mo,73.9
Health Care & Social Assistance (CNS16 / NAICS 62),King Co. (outside Seattle),CS01,Male,33.0
