noise,regime,treatment,rep,n_true_pairs,n_scored,avg_precision,best_f1,best_f1_precision,best_f1_recall,best_f1_threshold
default,consistent,none,0,10070,27609,0.9906820952007032,0.9775833788955713,0.9786048363021196,0.9765640516385303,0.9999948469377956
default,consistent,none,1,10056,27481,0.9916151055451803,0.9780361757105943,0.9774533174413985,0.9786197295147175,0.9999947617372232
default,consistent,none,2,10046,27571,0.9912726814631324,0.9770361145703611,0.9778641938378702,0.9762094365916782,0.9999967998314632
default,consistent,abbreviate,0,10070,27605,0.9906167360000927,0.9774309007755021,0.9785984471431416,0.976266137040715,0.9999953114567377
default,consistent,abbreviate,1,10056,27481,0.9915713603304971,0.9778307982900885,0.9775392566090241,0.9781225139220366,0.9999950475643702
default,consistent,abbreviate,2,10046,27579,0.9912561470318334,0.9770361145703611,0.9778641938378702,0.9762094365916782,0.9999964262571025
default,consistent,expand,0,10070,27606,0.9904926713238071,0.9772297901958835,0.978494623655914,0.9759682224428997,0.9999960485208007
default,consistent,expand,1,10056,27488,0.9914627338955453,0.9780318091451292,0.9776430842607313,0.9784208432776452,0.9999947599140219
default,consistent,expand,2,10046,27575,0.9912018121275986,0.9769131256841477,0.9766215678471946,0.9772048576547879,0.9999947151772682
default,split,none,0,10070,27572,0.9911216543865757,0.9782813975448537,0.9792060491493384,0.9773584905660377,0.999981432591497
default,split,none,1,10056,27455,0.9915625613061495,0.9781181619256019,0.9783127735773975,0.9779236276849642,0.9999818920695565
default,split,none,2,10046,27531,0.9915520086774664,0.9780941949616649,0.978386454183267,0.9778021102926538,0.9999808601038421
default,split,abbreviate,0,10070,27605,0.9906603246994208,0.9774862084389443,0.9784101084469207,0.9765640516385303,0.9999949976417851
default,split,abbreviate,1,10056,27482,0.9916058908319516,0.9779324055666004,0.9775437201907791,0.978321400159109,0.9999947622295079
default,split,abbreviate,2,10046,27579,0.9913008480288797,0.9770870691372784,0.9778664007976072,0.9763089786979893,0.999996251199254
default,split,expand,0,10070,27606,0.99054127169299,0.9773800646283869,0.9785963165754107,0.9761668321747765,0.9999953354985289
default,split,expand,1,10056,27488,0.9914702899268579,0.9780804214921219,0.9777402365099871,0.9784208432776452,0.9999947591857898
default,split,expand,2,10046,27575,0.9911904359956435,0.9769131256841477,0.9766215678471946,0.9772048576547879,0.9999948392006559
elevated,consistent,none,0,10070,27587,0.9904216629544905,0.9765613336650908,0.9787531172069825,0.9743793445878848,0.9999940677852575
elevated,consistent,none,1,10056,27481,0.9911795916085211,0.9762759170653909,0.978617106314948,0.9739459029435164,0.9999947564702552
elevated,consistent,none,2,10046,27577,0.9907427454108223,0.976363817692231,0.9782174260591526,0.9745172207843918,0.9999947196649279
elevated,consistent,abbreviate,0,10070,27571,0.9902804319995535,0.9761122723200956,0.9783519553072626,0.9738828202581926,0.999993608466953
elevated,consistent,abbreviate,1,10056,27470,0.9910805841456951,0.9760255196132184,0.9784151094234036,0.9736475735879078,0.9999937402769422
elevated,consistent,abbreviate,2,10046,27578,0.9906839290627908,0.9761940410241052,0.9788809928936042,0.973521799721282,0.9999956762086886
elevated,consistent,expand,0,10070,27559,0.9900590764565549,0.9755368442030791,0.9789021097890211,0.9721946375372393,0.9999936497812669
elevated,consistent,expand,1,10056,27432,0.9906499327605447,0.9754053379895236,0.9786765441986185,0.9721559268098647,0.9999938473097979
elevated,consistent,expand,2,10046,27551,0.9905253429034996,0.9759371581982699,0.9748708780294001,0.977005773442166,0.9999899468427775
elevated,split,none,0,10070,27582,0.9907296389548589,0.9770211921187156,0.9765849786685187,0.9774577954319762,0.9999702588454698
elevated,split,none,1,10056,27472,0.9909630941490191,0.9770257529896292,0.975042091710409,0.9790175019888624,0.9999718635922809
elevated,split,none,2,10046,27509,0.9911471759531528,0.9768947316004382,0.9773814268632921,0.9764085208043002,0.9999790181861629
elevated,split,abbreviate,0,10070,27570,0.9903277676763721,0.9761632246827568,0.978354114713217,0.9739821251241311,0.9999928689599394
elevated,split,abbreviate,1,10056,27475,0.9910278428239874,0.9760350754820387,0.9780329505741387,0.9740453460620525,0.9999946678741451
elevated,split,abbreviate,2,10046,27577,0.9907650032833051,0.976303317535545,0.9785978597859786,0.974019510252837,0.9999944444666239
elevated,split,expand,0,10070,27558,0.9900559046248816,0.9756851021425013,0.9791,0.9722939424031778,0.999993959332678
elevated,split,expand,1,10056,27434,0.9905808951434254,0.9752107337024291,0.9782847993595517,0.9721559268098647,0.9999946645082405
elevated,split,expand,2,10046,27554,0.9905358842453402,0.9758945949992514,0.9785807226503853,0.9732231734023492,0.9999951339018069
