model,noise,regime,treatment,rep,n_true_pairs,n_scored,avg_precision,best_f1,best_f1_precision,best_f1_recall,best_f1_threshold
address_heavy,default,consistent,none,0,10070,27598,0.9673714557552784,0.9221672034998318,0.8937657254682695,0.9524329692154916,0.9395333862485628
address_heavy,default,consistent,none,1,10056,27454,0.9682795455982005,0.926670867057626,0.903847972014749,0.9506762132060461,0.9508521460725625
address_heavy,default,consistent,none,2,10046,27517,0.9669542806128533,0.9226247783126424,0.939622252038394,0.9062313358550667,0.9922805649442288
address_heavy,default,consistent,abbreviate,0,10070,27596,0.9664885952415246,0.9213893967093236,0.8936170212765957,0.9509433962264151,0.9489444185528758
address_heavy,default,consistent,abbreviate,1,10056,27492,0.9676646441445581,0.926181006887186,0.9039954554061731,0.9494828957836118,0.952831809096376
address_heavy,default,consistent,abbreviate,2,10046,27542,0.9664754268002881,0.9227026205078819,0.9399979345244243,0.9060322516424447,0.9920758107291152
address_heavy,default,consistent,expand,0,10070,27451,0.9655469547374284,0.9207067546097925,0.8935613494065975,0.9495531281032771,0.9496086475390686
address_heavy,default,consistent,expand,1,10056,27435,0.9663612597115883,0.9249368809477568,0.9037001897533207,0.9471957040572793,0.9580321443773341
address_heavy,default,consistent,expand,2,10046,27374,0.9654304564302862,0.9218829258395048,0.9399048407116259,0.9045391200477803,0.9922138416020244
address_heavy,default,split,none,0,10070,27494,0.9568637322254465,0.9265016311648436,0.8962316688323743,0.9588877855014896,0.7407338488312909
address_heavy,default,split,none,1,10056,27446,0.9584275163382672,0.9304683727667794,0.9043551717664727,0.9581344470962609,0.7725031379716478
address_heavy,default,split,none,2,10046,27486,0.9572363170323432,0.9250902092855425,0.8952416426110439,0.9569978100736611,0.7418085788798453
address_heavy,default,split,abbreviate,0,10070,27596,0.9666271119361053,0.9214931691360401,0.893636872550849,0.9511420059582919,0.9452793309595048
address_heavy,default,split,abbreviate,1,10056,27492,0.9677324926300698,0.9261504145856568,0.9037569792751017,0.9496817820206842,0.9528317492580072
address_heavy,default,split,abbreviate,2,10046,27555,0.9663124674551682,0.9211087420042643,0.9399088271860754,0.9030459884531157,0.9932339208312702
address_heavy,default,split,expand,0,10070,27447,0.9656393463975508,0.9208626167324541,0.8935911808669657,0.9498510427010923,0.9472419221709221
address_heavy,default,split,expand,1,10056,27436,0.9666647343481507,0.9251978059317509,0.9037458511142722,0.9476929196499603,0.9528220287968403
address_heavy,default,split,expand,2,10046,27540,0.9648518960945388,0.9196329535141675,0.9317531671434409,0.9078240095560423,0.9929053678955945
address_heavy,elevated,consistent,none,0,10070,27541,0.9627959458445366,0.9219399091875181,0.8975733634311512,0.9476663356504469,0.9426950525711136
address_heavy,elevated,consistent,none,1,10056,27455,0.9645122790064917,0.9257026159681027,0.905708848715509,0.9465990453460621,0.9443955962014529
address_heavy,elevated,consistent,none,2,10046,27551,0.9626410036813562,0.9199980617337792,0.8963270701539042,0.9449532152100338,0.9455728180506656
address_heavy,elevated,consistent,abbreviate,0,10070,27514,0.9620637140028242,0.9210615362304829,0.8973344635961195,0.946077457795432,0.932993092927994
address_heavy,elevated,consistent,abbreviate,1,10056,27434,0.9637497489190876,0.9251131331808672,0.9057646498332539,0.9453062848050915,0.9418019435856609
address_heavy,elevated,consistent,abbreviate,2,10046,27536,0.9621102641682029,0.9200058283549468,0.8983211609598786,0.9427632888711925,0.945641582080733
address_heavy,elevated,consistent,expand,0,10070,27532,0.9603541455851445,0.9187691410237713,0.8999142938767737,0.9384309831181727,0.9378913882223237
address_heavy,elevated,consistent,expand,1,10056,27423,0.9616017871937526,0.923182173573104,0.9075710991544965,0.9393396976929197,0.9339597597022175
address_heavy,elevated,consistent,expand,2,10046,27541,0.9601931680976485,0.9174016860776766,0.8986157517899761,0.9369898467051563,0.9463149137207206
address_heavy,elevated,split,none,0,10070,27399,0.952975691954498,0.9248577216166681,0.8990997749437359,0.9521350546176762,0.7228289933386091
address_heavy,elevated,split,none,1,10056,27343,0.9533252644364812,0.9288451278071495,0.9066376290124041,0.9521678599840891,0.7316677278748434
address_heavy,elevated,split,none,2,10046,27383,0.952864410095601,0.9238568876442469,0.8970464135021097,0.9523193310770456,0.7546831581855705
address_heavy,elevated,split,abbreviate,0,10070,27514,0.9619542235325661,0.9208006962576154,0.8972860912174896,0.9455809334657398,0.9400033475865147
address_heavy,elevated,split,abbreviate,1,10056,27434,0.9634134552719813,0.9250608272506082,0.9057556699066133,0.9452068416865553,0.9471781955420916
address_heavy,elevated,split,abbreviate,2,10046,27536,0.9623760563857283,0.9201181998740493,0.8961970368972351,0.9453513836352777,0.9421212590825979
address_heavy,elevated,split,expand,0,10070,27532,0.9603902146301069,0.9188245562990981,0.8978392721758909,0.9408142999006951,0.9386111361988877
address_heavy,elevated,split,expand,1,10056,27423,0.9611118441292399,0.9228137067996285,0.907508893375637,0.9386435958631663,0.9471840087678636
address_heavy,elevated,split,expand,2,10046,27541,0.9599970437491071,0.9171906224106839,0.8985770222519339,0.9365916782799124,0.9503396676384572
