metric,noise,regime,treatment,auc,true_mean,nonmatch_mean
jaro_winkler,default,consistent,none,0.9995648081399341,0.9978811208556648,0.5011479066166352
jaro,default,consistent,none,0.9995649571715298,0.9971852532383805,0.500956431079767
levenshtein_norm,default,consistent,none,0.9995838797909662,0.9958452037621888,0.17632073286141214
damerau_lev_norm,default,consistent,none,0.9995833955227651,0.9958506892545973,0.17913982290413794
jaro_winkler,default,consistent,abbreviate,0.9995399617680224,0.9977168101023824,0.4985846565284874
jaro,default,consistent,abbreviate,0.9995393338752676,0.9969697682238454,0.4983888488612772
levenshtein_norm,default,consistent,abbreviate,0.9995808241363435,0.9950048435705126,0.18124092546530332
damerau_lev_norm,default,consistent,abbreviate,0.9995799171050442,0.9950103290629211,0.18467366470894975
jaro_winkler,default,consistent,expand,0.9995454745853041,0.9977481743947043,0.5215200509260268
jaro,default,consistent,expand,0.9995335307674175,0.9969696375026741,0.5212980059907655
levenshtein_norm,default,consistent,expand,0.9995418393633646,0.9952939359588365,0.19472405118117259
damerau_lev_norm,default,consistent,expand,0.9995413594883852,0.9952982268328983,0.1960662257766261
jaro_winkler,default,split,none,0.9991298232668369,0.9581749993870105,0.49926834605242204
jaro,default,split,none,0.9991248463230469,0.932560897958533,0.4990725152602893
levenshtein_norm,default,split,none,0.9993170407724726,0.8076417810981518,0.1662330236806473
damerau_lev_norm,default,split,none,0.9993164007010705,0.8076460719722135,0.1680826741337002
jaro_winkler,default,split,abbreviate,0.999302725680329,0.9977168101023824,0.49856391492064045
jaro,default,split,abbreviate,0.999302580363168,0.9969697682238454,0.49835473409063485
levenshtein_norm,default,split,abbreviate,0.9993437406041472,0.9950048435705126,0.1815960553513773
damerau_lev_norm,default,split,abbreviate,0.9993428166573609,0.9950103290629211,0.18510986295618434
jaro_winkler,default,split,expand,0.9993084471211088,0.9977481743947043,0.5218282961381618
jaro,default,split,expand,0.9992972698658015,0.9969696375026741,0.5215847129547772
levenshtein_norm,default,split,expand,0.9993045445104694,0.9952939359588365,0.1961257382705714
damerau_lev_norm,default,split,expand,0.9993040162994865,0.9952982268328983,0.19756643730239273
jaro_winkler,default,mixed,none,0.9992211501665446,0.9780647598453771,0.5046234518796746
jaro,default,mixed,none,0.999203086323088,0.9649271330116326,0.5044095884195768
levenshtein_norm,default,mixed,none,0.9991652940429978,0.9017564651264094,0.17730330263430827
damerau_lev_norm,default,mixed,none,0.9991639477703187,0.9017619506188178,0.17935952693068524
jaro_winkler,default,mixed,abbreviate,0.9993345628263193,0.9977168101023824,0.4981535615583707
jaro,default,mixed,abbreviate,0.9993340113411254,0.9969697682238454,0.4979452828867341
levenshtein_norm,default,mixed,abbreviate,0.9993747675162126,0.9950048435705126,0.18157524089339278
damerau_lev_norm,default,mixed,abbreviate,0.9993741261443388,0.9950103290629211,0.18499317725234501
jaro_winkler,default,mixed,expand,0.9993392055071268,0.9977481743947043,0.5214020191973084
jaro,default,mixed,expand,0.999327098852691,0.9969696375026741,0.5211824052743725
levenshtein_norm,default,mixed,expand,0.9993339194269264,0.9952939359588365,0.19528669406008153
damerau_lev_norm,default,mixed,expand,0.9993334466770575,0.9952982268328983,0.19671283212183507
jaro_winkler,default,dropsuffix,none,0.9963843322942892,0.9718060436228904,0.4759579821464026
jaro,default,dropsuffix,none,0.9963508001697374,0.9572502390327674,0.4757508999578544
levenshtein_norm,default,dropsuffix,none,0.9978167343224107,0.8856246894065744,0.15859425574486427
damerau_lev_norm,default,dropsuffix,none,0.9977680840017273,0.8856324276078653,0.1605759624395395
jaro_winkler,default,dropsuffix,abbreviate,0.9964501938866498,0.9741305621723011,0.4725169774354826
jaro,default,dropsuffix,abbreviate,0.9964311477101917,0.9610415797896381,0.47233040757267863
levenshtein_norm,default,dropsuffix,abbreviate,0.9986413270141673,0.8965839296816531,0.16013468032588557
damerau_lev_norm,default,dropsuffix,abbreviate,0.9986113788675356,0.8965894151740618,0.1624901340530255
jaro_winkler,default,dropsuffix,expand,0.9954143127541686,0.9641987849076078,0.49094958007520584
jaro,default,dropsuffix,expand,0.9950929722665692,0.9449051166588707,0.490722728262403
levenshtein_norm,default,dropsuffix,expand,0.9922335668178366,0.8512554241740813,0.17237164575122685
damerau_lev_norm,default,dropsuffix,expand,0.9921705207736592,0.8512576768829637,0.17350712778925317
jaro_winkler,elevated,consistent,none,0.9993176329107827,0.9899645537583378,0.5004993314042222
jaro,elevated,consistent,none,0.9993183469497052,0.9867610948003673,0.5003180834827992
levenshtein_norm,elevated,consistent,none,0.9993763922652281,0.9806777739320952,0.1767354107779595
damerau_lev_norm,elevated,consistent,none,0.9993756359854795,0.980692975591211,0.17953376535971194
jaro_winkler,elevated,consistent,abbreviate,0.9992394877206182,0.9890725327962108,0.49760842469591715
jaro,elevated,consistent,abbreviate,0.999239339708764,0.9856022509582427,0.4974050660057446
levenshtein_norm,elevated,consistent,abbreviate,0.9993544070980408,0.9766274132654487,0.1810008941195368
damerau_lev_norm,elevated,consistent,abbreviate,0.9993526566382116,0.9766430708299337,0.18433106444594097
jaro_winkler,elevated,consistent,expand,0.9991694041076133,0.9890830907095783,0.5201139754371503
jaro,elevated,consistent,expand,0.9991199025905195,0.9854933230760158,0.5198878106464162
levenshtein_norm,elevated,consistent,expand,0.9991628895584651,0.9777583078955162,0.1943600017810275
damerau_lev_norm,elevated,consistent,expand,0.999161042451626,0.9777719159487606,0.1957484545309274
jaro_winkler,elevated,split,none,0.9991467196026491,0.9507204328089102,0.49880789200130826
jaro,elevated,split,none,0.9991527653266704,0.924153246980755,0.4986226683705797
levenshtein_norm,elevated,split,none,0.9994119806016813,0.7987283480518377,0.16586045341531666
damerau_lev_norm,elevated,split,none,0.9994107664556633,0.7987425729182285,0.16766378504305873
jaro_winkler,elevated,split,abbreviate,0.9993252206941694,0.9890725327962108,0.49745519664181886
jaro,elevated,split,abbreviate,0.9993235429221183,0.9856022509582427,0.49725744686114465
levenshtein_norm,elevated,split,abbreviate,0.999443243594446,0.9766274132654487,0.18033203593975342
damerau_lev_norm,elevated,split,abbreviate,0.9994415891388646,0.9766430708299337,0.18367223926682663
jaro_winkler,elevated,split,expand,0.9992446582366911,0.9890830907095783,0.5199334118885899
jaro,elevated,split,expand,0.9991895803425568,0.9854933230760158,0.5197162182594363
levenshtein_norm,elevated,split,expand,0.9992420423991387,0.9777583078955162,0.1942550752067339
damerau_lev_norm,elevated,split,expand,0.9992395559848886,0.9777719159487606,0.19560167203383386
jaro_winkler,elevated,mixed,none,0.9991718412285445,0.9699101730542129,0.5043803243631958
jaro,elevated,mixed,none,0.9991373020729001,0.9548839662751332,0.5041895317180868
levenshtein_norm,elevated,mixed,none,0.9991746896688952,0.8880421146614677,0.17696974786628006
damerau_lev_norm,elevated,mixed,none,0.999171612447655,0.8880565272535987,0.17903600285572766
