model,noise,regime,treatment,rep,level,m,u
address_heavy,default,consistent,none,0,Exact match on street_name,0.971158420929008,0.0014571967820349355
address_heavy,default,consistent,none,0,Jaro-Winkler distance of street_name >= 0.92,0.01960864192304127,0.0001243831790312158
address_heavy,default,consistent,none,0,Jaro-Winkler distance of street_name >= 0.7,0.008957300615709474,0.013305555699074609
address_heavy,default,consistent,none,0,All other comparisons,0.00027563653224134085,0.9851128643398592
address_heavy,default,consistent,none,1,Exact match on street_name,0.9666010982930009,0.0013307285395340132
address_heavy,default,consistent,none,1,Jaro-Winkler distance of street_name >= 0.92,0.024288882293864684,0.00012684847852654867
address_heavy,default,consistent,none,1,Jaro-Winkler distance of street_name >= 0.7,0.009110015807283524,0.012605004140282827
address_heavy,default,consistent,none,1,All other comparisons,3.605850913472775e-09,0.9859374188416566
address_heavy,default,consistent,none,2,Exact match on street_name,0.9702428401494475,0.001363472953256838
address_heavy,default,consistent,none,2,Jaro-Winkler distance of street_name >= 0.92,0.021944783892891825,0.0001266952736867705
address_heavy,default,consistent,none,2,Jaro-Winkler distance of street_name >= 0.7,0.007812374150181948,0.013530415758334162
address_heavy,default,consistent,none,2,All other comparisons,1.8074788360648825e-09,0.9849794160147223
address_heavy,default,consistent,abbreviate,0,Exact match on street_name,0.9711560963415676,0.0011781803158193891
address_heavy,default,consistent,abbreviate,0,Jaro-Winkler distance of street_name >= 0.92,0.01894578123048768,0.00013495670518521463
address_heavy,default,consistent,abbreviate,0,Jaro-Winkler distance of street_name >= 0.7,0.009383651671074609,0.015285502772718626
address_heavy,default,consistent,abbreviate,0,All other comparisons,0.0005144707568701025,0.9834013602062768
address_heavy,default,consistent,abbreviate,1,Exact match on street_name,0.9666669406524084,0.001278269920620339
address_heavy,default,consistent,abbreviate,1,Jaro-Winkler distance of street_name >= 0.92,0.02294363838587992,0.0001310393161040464
address_heavy,default,consistent,abbreviate,1,Jaro-Winkler distance of street_name >= 0.7,0.010173022525093677,0.015079510896242326
address_heavy,default,consistent,abbreviate,1,All other comparisons,0.00021639843661796842,0.9835111798670333
address_heavy,default,consistent,abbreviate,2,Exact match on street_name,0.9702657456352479,0.001420690510134507
address_heavy,default,consistent,abbreviate,2,Jaro-Winkler distance of street_name >= 0.92,0.02144066872681594,0.00016839190892373808
address_heavy,default,consistent,abbreviate,2,Jaro-Winkler distance of street_name >= 0.7,0.008198780460903988,0.014967251389491518
address_heavy,default,consistent,abbreviate,2,All other comparisons,9.480517703202542e-05,0.9834436661914502
address_heavy,default,consistent,expand,0,Exact match on street_name,0.9711468626021329,0.0012013420684391298
address_heavy,default,consistent,expand,0,Jaro-Winkler distance of street_name >= 0.92,0.018424660820764265,0.0002184439002671416
address_heavy,default,consistent,expand,0,Jaro-Winkler distance of street_name >= 0.7,0.01020548346940025,0.029983263897722937
address_heavy,default,consistent,expand,0,All other comparisons,0.00022299310770276272,0.9685969501335708
address_heavy,default,consistent,expand,1,Exact match on street_name,0.9665970356056329,0.001156095560965775
address_heavy,default,consistent,expand,1,Jaro-Winkler distance of street_name >= 0.92,0.021979782783178574,0.0002460859208357264
address_heavy,default,consistent,expand,1,Jaro-Winkler distance of street_name >= 0.7,0.01142317789960479,0.03031431228938688
address_heavy,default,consistent,expand,1,All other comparisons,3.7115836622481767e-09,0.9682835062288117
address_heavy,default,consistent,expand,2,Exact match on street_name,0.9702723204850876,0.0014016492578339747
address_heavy,default,consistent,expand,2,Jaro-Winkler distance of street_name >= 0.92,0.019878724475236153,0.00022495876855415064
address_heavy,default,consistent,expand,2,Jaro-Winkler distance of street_name >= 0.7,0.00980009769773902,0.028437383177570094
address_heavy,default,consistent,expand,2,All other comparisons,4.885734193721041e-05,0.9699360087960418
address_heavy,default,split,none,0,Exact match on street_name,0.14722465154890257,6.5230427517332e-05
address_heavy,default,split,none,0,Jaro-Winkler distance of street_name >= 0.92,0.8112777186538196,0.001233391786126768
address_heavy,default,split,none,0,Jaro-Winkler distance of street_name >= 0.7,0.04010228319314402,0.008458900186092501
address_heavy,default,split,none,0,All other comparisons,0.001395346604133824,0.9902424776002634
address_heavy,default,split,none,1,Exact match on street_name,0.14437586215659926,5.100237180495447e-05
address_heavy,default,split,none,1,Jaro-Winkler distance of street_name >= 0.92,0.8128177030077963,0.0012524780923399887
address_heavy,default,split,none,1,Jaro-Winkler distance of street_name >= 0.7,0.041975515553788395,0.008335967806991453
address_heavy,default,split,none,1,All other comparisons,0.0008309192818160016,0.9903605517288636
address_heavy,default,split,none,2,Exact match on street_name,0.1471958009500693,5.885233614249903e-05
address_heavy,default,split,none,2,Jaro-Winkler distance of street_name >= 0.92,0.8121488644736579,0.0013551783757227618
address_heavy,default,split,none,2,Jaro-Winkler distance of street_name >= 0.7,0.03970340291569413,0.008928627665873046
address_heavy,default,split,none,2,All other comparisons,0.0009519316605787838,0.9896573416222617
address_heavy,default,split,abbreviate,0,Exact match on street_name,0.9711589716891238,0.0012709210439565614
address_heavy,default,split,abbreviate,0,Jaro-Winkler distance of street_name >= 0.92,0.01894460874915984,0.000177972114693315
address_heavy,default,split,abbreviate,0,Jaro-Winkler distance of street_name >= 0.7,0.009383438705653786,0.015275972547948474
address_heavy,default,split,abbreviate,0,All other comparisons,0.0005129808560627023,0.9832751342934016
address_heavy,default,split,abbreviate,1,Exact match on street_name,0.9666661943212661,0.0012190552154512525
address_heavy,default,split,abbreviate,1,Jaro-Winkler distance of street_name >= 0.92,0.022943823857539153,0.00012190552154512525
address_heavy,default,split,abbreviate,1,Jaro-Winkler distance of street_name >= 0.7,0.010173458783124471,0.0147342302535572
address_heavy,default,split,abbreviate,1,All other comparisons,0.00021652303807020165,0.9839248090094465
address_heavy,default,split,abbreviate,2,Exact match on street_name,0.9702617749946367,0.0011738459106880159
address_heavy,default,split,abbreviate,2,Jaro-Winkler distance of street_name >= 0.92,0.02144118941891828,0.00014366593313961735
address_heavy,default,split,abbreviate,2,Jaro-Winkler distance of street_name >= 0.7,0.00819859591182162,0.01507134665029402
address_heavy,default,split,abbreviate,2,All other comparisons,9.843967462342231e-05,0.9836111415058784
address_heavy,default,split,expand,0,Exact match on street_name,0.9711483148844067,0.001183341604000458
address_heavy,default,split,expand,0,Jaro-Winkler distance of street_name >= 0.92,0.018424956011279994,0.00020821259894436212
address_heavy,default,split,expand,0,Jaro-Winkler distance of street_name >= 0.7,0.010204478889690175,0.03037455518655656
address_heavy,default,split,expand,0,All other comparisons,0.00022225021462305846,0.9682338906104986
address_heavy,default,split,expand,1,Exact match on street_name,0.9665960082717373,0.0012557727036305228
address_heavy,default,split,expand,1,Jaro-Winkler distance of street_name >= 0.92,0.021980492646356084,0.0002105538839964594
address_heavy,default,split,expand,1,Jaro-Winkler distance of street_name >= 0.7,0.011423495611904873,0.02915071063014506
address_heavy,default,split,expand,1,All other comparisons,3.470001755334173e-09,0.9693829627822279
address_heavy,default,split,expand,2,Exact match on street_name,0.9702515805984328,0.0009626671444332952
address_heavy,default,split,expand,2,Jaro-Winkler distance of street_name >= 0.92,0.019878867255461424,0.00020362152811536353
address_heavy,default,split,expand,2,Jaro-Winkler distance of street_name >= 0.7,0.009800650850375842,0.029915039477913588
address_heavy,default,split,expand,2,All other comparisons,6.890129573000973e-05,0.9689186718495377
address_heavy,elevated,consistent,none,0,Exact match on street_name,0.8596571041768355,0.0010524195044880258
address_heavy,elevated,consistent,none,0,Jaro-Winkler distance of street_name >= 0.92,0.09544062196033559,0.00023552500051999027
address_heavy,elevated,consistent,none,0,Jaro-Winkler distance of street_name >= 0.7,0.0440813046905445,0.012927977474429734
