comparator,model,noise,regime,treatment,rep,level,m,u
jw_no_tf,full,elevated,split,none,0,Exact match on street_name,0.130643256264608,4.2202641885382025e-05
jw_no_tf,full,elevated,split,none,0,Jaro-Winkler distance of street_name >= 0.92,0.7669337520001109,0.001120870166472421
jw_no_tf,full,elevated,split,none,0,Jaro-Winkler distance of street_name >= 0.7,0.09954558236453621,0.008699344578970643
jw_no_tf,full,elevated,split,none,0,All other comparisons,0.0028774093707448854,0.9901375826126716
jw_no_tf,full,elevated,split,none,1,Exact match on street_name,0.12751262528035012,4.227397581685862e-05
jw_no_tf,full,elevated,split,none,1,Jaro-Winkler distance of street_name >= 0.92,0.7697151506540911,0.0014148634489900768
jw_no_tf,full,elevated,split,none,1,Jaro-Winkler distance of street_name >= 0.7,0.09975797897230601,0.008569481021209805
jw_no_tf,full,elevated,split,none,1,All other comparisons,0.0030142450932527393,0.9899733815539833
jw_no_tf,full,elevated,split,none,2,Exact match on street_name,0.13011295327700328,4.342598225679914e-05
jw_no_tf,full,elevated,split,none,2,Jaro-Winkler distance of street_name >= 0.92,0.7657687573857411,0.0013636168107712824
jw_no_tf,full,elevated,split,none,2,Jaro-Winkler distance of street_name >= 0.7,0.10135023443545838,0.008194605755581365
jw_no_tf,full,elevated,split,none,2,All other comparisons,0.0027680549017972925,0.9903983514513905
jw_no_tf,full,elevated,split,abbreviate,0,Exact match on street_name,0.859585907848365,0.0009505127181233608
jw_no_tf,full,elevated,split,abbreviate,0,Jaro-Winkler distance of street_name >= 0.92,0.08970838494439462,0.000253052977385089
jw_no_tf,full,elevated,split,abbreviate,0,Jaro-Winkler distance of street_name >= 0.7,0.04890942657624431,0.014548712482415191
jw_no_tf,full,elevated,split,abbreviate,0,All other comparisons,0.0017962806309960537,0.9842477218220763
jw_no_tf,full,elevated,split,abbreviate,1,Exact match on street_name,0.8580698046181096,0.0011605259297107792
jw_no_tf,full,elevated,split,abbreviate,1,Jaro-Winkler distance of street_name >= 0.92,0.09611898440537747,0.000296050468206952
jw_no_tf,full,elevated,split,abbreviate,1,Jaro-Winkler distance of street_name >= 0.7,0.04485757496423082,0.014100339456363922
jw_no_tf,full,elevated,split,abbreviate,1,All other comparisons,0.0009536360122821263,0.9844430841457184
jw_no_tf,full,elevated,split,abbreviate,2,Exact match on street_name,0.8607794390384311,0.0010692168218668333
jw_no_tf,full,elevated,split,abbreviate,2,Jaro-Winkler distance of street_name >= 0.92,0.09270193197560278,0.0002778445921176037
jw_no_tf,full,elevated,split,abbreviate,2,Jaro-Winkler distance of street_name >= 0.7,0.045788116290359046,0.01423057601737393
jw_no_tf,full,elevated,split,abbreviate,2,All other comparisons,0.0007305126956071238,0.9844223625686417
jw_no_tf,full,elevated,split,expand,0,Exact match on street_name,0.8596179364929557,0.0010961331136090339
jw_no_tf,full,elevated,split,expand,0,Jaro-Winkler distance of street_name >= 0.92,0.08966533753618265,0.00033261398301719455
jw_no_tf,full,elevated,split,expand,0,Jaro-Winkler distance of street_name >= 0.7,0.049087276021760926,0.029131925198350117
jw_no_tf,full,elevated,split,expand,0,All other comparisons,0.0016294499491007926,0.9694393277050236
jw_no_tf,full,elevated,split,expand,1,Exact match on street_name,0.858130407353386,0.0010115457040725138
jw_no_tf,full,elevated,split,expand,1,Jaro-Winkler distance of street_name >= 0.92,0.09219789329315575,0.0002678970381718371
jw_no_tf,full,elevated,split,expand,1,Jaro-Winkler distance of street_name >= 0.7,0.04832671029045878,0.02826543150772373
jw_no_tf,full,elevated,split,expand,1,All other comparisons,0.0013449890629995335,0.9704551257500319
jw_no_tf,full,elevated,split,expand,2,Exact match on street_name,0.8608027270107241,0.001058005529550245
jw_no_tf,full,elevated,split,expand,2,Jaro-Winkler distance of street_name >= 0.92,0.09013263898845822,0.0002770640982023096
jw_no_tf,full,elevated,split,expand,2,Jaro-Winkler distance of street_name >= 0.7,0.04749269443865604,0.028207158694963572
jw_no_tf,full,elevated,split,expand,2,All other comparisons,0.0015719395621616172,0.9704577716772839
jw_no_tf,address_heavy,elevated,split,none,0,Exact match on street_name,0.13066746107017796,5.002751513332333e-05
jw_no_tf,address_heavy,elevated,split,none,0,Jaro-Winkler distance of street_name >= 0.92,0.7670578656084022,0.0012096083740366144
