criteria,exclude,domain,no_preg,complete,weight,N,wt_age,dN
H,dx-only,MEC,False,False,wtmec6,3987,55.8,189
H,+a1c>=6.5,MEC,False,False,wtmec6,3987,55.8,189
H,dx-only,MEC,True,False,wtmec6,3976,55.9,200
H,+a1c>=6.5,MEC,True,False,wtmec6,3976,55.9,200
H|F|O,dx-only,FAST,False,False,wtsaf6,3890,49.8,286
H|F|O,dx-only,FAST,True,False,wtsaf6,3879,49.9,297
H,+fpg>=126,MEC,False,False,wtmec6,3840,55.7,336
H,+fpg>=126,MEC,True,False,wtmec6,3829,55.8,347
H|F|O,+a1c>=6.5,FAST,False,False,wtsaf6,3816,49.7,360
H|F|O,+a1c>=6.5,FAST,True,False,wtsaf6,3805,49.8,371
H,full-lab,MEC,False,False,wtmec6,3777,55.6,399
H,full-lab,MEC,True,False,wtmec6,3766,55.6,410
H,dx-only,MEC,False,True,wtmec6,3757,55.9,419
H,+a1c>=6.5,MEC,False,True,wtmec6,3757,55.9,419
H,dx-only,MEC,True,True,wtmec6,3746,55.9,430
H,+a1c>=6.5,MEC,True,True,wtmec6,3746,55.9,430
H|F,dx-only,FAST,False,False,wtsaf6,3725,50.1,451
H|F,dx-only,FAST,True,False,wtsaf6,3714,50.1,462
H|F|O,dx-only,FAST,False,True,wtsaf6,3686,49.9,490
H|F|O,dx-only,FAST,True,True,wtsaf6,3677,49.9,499
H|F,+a1c>=6.5,FAST,False,False,wtsaf6,3656,50.0,520
H|F|O,+fpg>=126,FAST,False,False,wtsaf6,3652,49.5,524
H|F,+a1c>=6.5,FAST,True,False,wtsaf6,3645,50.0,531
H|F|O,+fpg>=126,FAST,True,False,wtsaf6,3641,49.5,535
H|F|O,+a1c>=6.5,FAST,False,True,wtsaf6,3617,49.8,559
H,+fpg>=126,MEC,False,True,wtmec6,3615,55.8,561
H|F|O,+a1c>=6.5,FAST,True,True,wtsaf6,3608,49.8,568
H,+fpg>=126,MEC,True,True,wtmec6,3604,55.8,572
H|F|O,full-lab,FAST,False,False,wtsaf6,3563,49.2,613
H,full-lab,MEC,False,True,wtmec6,3557,55.6,619
H|F|O,full-lab,FAST,True,False,wtsaf6,3552,49.3,624
H,full-lab,MEC,True,True,wtmec6,3546,55.6,630
H|F,dx-only,FAST,False,True,wtsaf6,3529,50.1,647
H|F,dx-only,FAST,True,True,wtsaf6,3520,50.1,656
H|F,+fpg>=126,FAST,False,False,wtsaf6,3509,49.7,667
H|F,+fpg>=126,FAST,True,False,wtsaf6,3498,49.7,678
H|F,+a1c>=6.5,FAST,False,True,wtsaf6,3464,50.0,712
H|F|O,+fpg>=126,FAST,False,True,wtsaf6,3459,49.5,717
